Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-69.8785802955566	-69.9089469494397	-73.0755807155626	-69.7259896959306	-69.2531104867154	-72.4352382184202
-71.9384845553883	-72.3609348509336	-70.8502433549132	-71.927957163063	-71.6784610948204	-70.4050916059335
-70.4167617317948	-70.4933406291377	-72.4197197868415	-70.6172994610527	-70.5094719146977	-71.7761499720741
-71.8198881966238	-72.1973466606802	-70.1098333670252	-71.9645312641561	-72.1301102206019	-70.3788685556835
-69.9325136215566	-69.8873065632086	-71.4890427332209	-70.1018295703101	-70.5168762487329	-71.3661815771302
NaN	NaN	-68.8995703652494	NaN	NaN	-69.6916696670729
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39020.0243055556	39020.0243055556	39019.5520833334	39020.0208333334	39020.0173611111	39019.4791666667
39020.5868055556	39020.59375	39019.9895833334	39020.5868055556	39020.59375	39020.0208333334
39021.0694444444	39021.0694444444	39020.5798611111	39021.09375	39021.0798611111	39020.5902777779
39021.5763888889	39021.5972222222	39021.0451388889	39021.5902777778	39021.6041666666	39021.0694444444
39022.0381944444	39022.0590277778	39021.5868055555	39022.0590277778	39022.0833333334	39021.5798611111
NaN	NaN	39022.0347222222	NaN	NaN	39022.0694444444
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
