Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0623257456583133	0.0750586138177596	0.0469535142644872	0.0906249151594523	0.0440531147409047	0.0609502997342588
0.416235557905992	0.548895349162393	0.423745198556048	0.478027093349709	0.493897453035231	0.451725012326364
0.0851163001706539	0.101793969579546	0.0715148692076752	0.0958230589260438	0.107868536916811	0.0802775051480182
0.333835804140762	0.382811882007957	0.295145536193331	0.31792327485266	0.386290919927063	0.389022283984332
0.105232326408043	0.133576281912013	0.0931985443479562	0.142651288843552	0.118692416341418	0.116156078545487
0.298801497269949	0.423817089757421	0.31892346452355	0.395363831311101	0.386868048964573	0.366570083735525
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.951388889	39019.9409722222	39019.951388889	39019.9375	39019.9548611111	39019.951388889
39020.4236111111	39020.4375	39020.4409722222	39020.4375	39020.420138889	39020.4479166667
39020.9791666667	39020.96875	39020.9652777779	39020.9756944445	39020.9548611111	39020.96875
39021.3784722222	39021.3854166666	39021.3854166666	39021.3958333334	39021.375	39021.375
39021.9444444444	39021.9513888889	39021.9444444444	39021.9583333334	39021.9479166666	39021.9444444444
39022.3298611111	39022.3402777778	39022.3333333334	39022.34375	39022.3368055555	39022.3368055555
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
