Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0305743351983807	0.0213453402764685	0.0411606382205036	0.0171723323509667	0.0144392837652418	0.0330536468373737
0.0136677263101177	0.0487121071267609	0.0209213351608639	0.0414251178620475	0.041841984705755	0.0193207312956787
0.0393050114835773	0.0127295839691755	0.0500907357586726	0.0104851935602994	0.0105716112136491	0.0360881546133811
0.0124314208909624	0.0575834280290621	0.0102699198904475	0.0478984813380094	0.048574236404832	0.0131507706261829
0.045543114144607	0.0226389115083236	0.0564371944994235	0.0183961532093093	0.0116785752470321	0.042527434352678
0.00973620542821152	NaN	0.015060140870915	NaN	NaN	0.0108393958935267
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.7465277779	39020.1458333334	39019.6631944445	39020.1319444445	39020.1215277779	39019.6180555556
39020.1284722222	39020.7083333334	39020.138888889	39020.6979166667	39020.701388889	39020.138888889
39020.6979166667	39021.1701388889	39020.701388889	39021.1805555555	39021.1666666666	39020.7048611111
39021.1701388889	39021.7361111111	39021.1631944444	39021.7361111111	39021.7430555555	39021.1805555555
39021.71875	39022.1770833334	39021.7326388889	39022.1597222222	39022.1736111111	39021.7326388889
39022.1354166666	NaN	39022.1701388889	NaN	NaN	39022.1770833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
