Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0167277704721869	-0.0136609988716003	-0.00398710327209528	-0.0137862253484684	-0.00926631271859435	-0.00999554537641245
-0.0131294993299349	-0.0590950739331362	-0.0486220809245594	-0.0497520869484305	-0.052165264585085	-0.0416738477379113
-0.0504546971518067	-0.0124369039746028	-0.00609257756505599	-0.012142695581943	-0.0157763832856119	-0.00929494047809953
-0.0100775445708052	-0.0329148887348083	-0.0277204658372625	-0.0266096646308966	-0.0286836751232897	-0.0260037090990579
-0.0303263043931423	-0.0137917019328739	-0.00871876463050114	-0.0154975971715032	-0.0169882138376209	-0.0125730536835533
-0.0123333493332751	-0.0284432929840506	-0.0217732400211617	-0.0291532180516612	-0.0247143644207171	-0.0187658009557907
-0.0210212731880546	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.607638889	39019.9375	39019.9375	39019.9270833334	39019.9444444445	39019.9444444445
39019.9409722222	39020.4548611111	39020.451388889	39020.451388889	39020.4618055556	39020.46875
39020.4583333334	39020.9583333334	39020.9444444445	39020.9756944445	39020.9444444445	39020.9652777779
39020.96875	39021.4131944444	39021.4131944444	39021.4097222222	39021.3958333334	39021.40625
39021.4097222222	39021.9548611111	39021.9479166666	39021.9583333334	39021.9583333334	39021.9479166666
39021.9375	39022.3611111111	39022.3576388889	39022.3506944444	39022.3541666666	39022.3611111111
39022.34375	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
