Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	940382.7438	109069.6317	204	73050.00003	273549.8449	0.115984297	0.000216933	0.077681136	0.29089203	412.9599933	193.2552788	8.137347458	224.6844633	27.65614595	1.4103	179.4131868	8.107347458	209.6844633	27.49614595	96.96380283	190.2705992	8.127641575	217.0668162	27.62938125	94.26777862	3.164712045	0.008343131	3.618259297	0.027603314	0.014543096	0.187660076	3.73E-05	0.17781054	-0.02168486	0.319183493	2.01E-05	0.004689073
Sensor2	NaN	123614.6037	170.9999999	82949.99965	273454.6025	0.131451374	0.000181841	0.088208764	0.290790749	NaN	193.1550703	8.123550847	228.8618644	27.64334369	NaN	177.2991393	8.103550847	223.8618644	27.49334369	NaN	189.6077732	8.120609671	226.2442173	27.61981428	NaN	3.390830303	0.005239368	1.614605786	0.026039871	0.015180316	0.178104972	2.92E-05	0.275255615	0.007558629	0.194750957	2.41E-05	0.007628526
Sensor3	NaN	103497.9726	303	124350	273461.5636	0.110059413	0.000322209	0.132233392	0.290798151	NaN	193.2622776	8.153539548	230.8607344	27.65025895	NaN	179.5700456	8.113539548	225.8607345	27.50025895	NaN	189.8662799	8.143833666	229.3607345	27.62055306	NaN	2.91776615	0.009369614	0.82572282	0.025164344	0.011835979	0.146229154	4.76E-05	0.229439619	-0.001180838	0.018173517	1.22E-05	0.002093725
Sensor4	NaN	103548.3207	158.9999999	9750.000322	273476.4619	0.110112953	0.00016908	0.010368119	0.290813994	NaN	191.896268	8.121042373	225.0935028	27.64206685	NaN	179.1262135	8.101042373	219.0935028	27.49206685	NaN	188.794962	8.116924726	220.1523264	27.62206685	NaN	2.784416086	0.005569205	0.982920091	0.025584086	0.010836937	0.134608167	3.86E-05	0.426187803	-0.000984637	0.008917483	2.93E-05	0.011676668
Sensor5	NaN	117610.473	220.5000001	49949.99968	273439.0432	0.125066601	0.000234479	0.05311667	0.290774203	NaN	193.5156366	8.124612994	228.5443503	27.64328719	NaN	178.5179936	8.104612994	220.5443503	27.49328719	NaN	190.2148642	8.116671818	222.6914091	27.61828719	NaN	3.047818713	0.005918339	1.373611758	0.026082619	0.013405061	0.171903956	2.18E-05	0.121024418	-0.000317225	0.000473952	2.78E-05	0.010089653
Sensor6	NaN	100668.5194	267	14999.99969	273493.0941	0.107050581	0.000283927	0.015950952	0.290831681	NaN	192.6771591	8.144330508	224.4573446	27.64571657	NaN	180.5575874	8.104330508	215.4573447	27.48571657	NaN	189.6032608	8.131095214	217.0749917	27.62365775	NaN	3.004431541	0.008780346	1.517867438	0.026943196	0.013707739	0.184983737	5.11E-05	0.301357118	-0.007042046	0.191274304	3.56E-05	0.015478572
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	21613833.1	765567.3417	1102.5	662250	1217614.036	0.035420249	5.10E-05	0.0306401	0.056334942	1159.8	208.5420549	8.157347458	231.6844633	27.70614595	1.331499969	179.4131868	8.107347458	220.6844633	27.48614595	486.8087938	196.6696662	8.132212322	224.7250038	27.60965946	325.8633531	8.545258971	0.016140813	2.21889958	0.065088792	0.019882597	0.574866254	3.72E-05	0.564916385	-3.13E-05	2.11E-05	0.000111615	0.312253655
	NaN	918091.0396	1386	244799.9985	1218346.957	0.042477012	6.41E-05	0.01132608	0.056368852	NaN	212.8711732	8.163550847	231.8618644	27.72334369	NaN	177.2991393	8.103550847	217.8618644	27.48334369	NaN	197.9966079	8.134834631	223.4429455	27.62611396	NaN	10.89220448	0.019632002	2.219313839	0.059793533	0.025296225	0.572731275	4.31E-05	0.511600064	-0.001017303	0.02231179	0.000126317	0.473895748
