Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	473521.8627	878.9999996	185550	739055.0969	204.1973897	8.167347458	221.6844633	27.78614595	183.5243643	8.117347458	203.6844633	27.49614595	4.460546985	0.011731495	5.096619523	0.050995581	163968.8453	691.4999855	133800.0001	1182469.161	0.004217264	0.816008674	7.211547776	194.0704159	8.127347458	227.6844633	27.64614595	179.0117975	8.097347458	214.6844633	27.49614595	182.891416	8.113528013	217.8372411	27.56392373	2.483738331	0.005671241	2.269652153	0.043362909	349.5175818	0.636916642	0.022015447	0.000404727	26.83255879	0.21945694
Sensor2	509380.42	1209	271649.9992	738906.7766	206.7295262	8.163550847	235.8618644	27.77334369	178.4380911	8.103550847	222.8618644	27.50334369	5.672066143	0.014396299	3.010307922	0.052616436	246408.6882	346.4999999	155700	1182191.444	0.0014062	0.63187707	4.797685719	194.3060363	8.133550847	230.8618644	27.63334369	176.2554495	8.103550847	222.8618644	27.50334369	182.0590903	8.11171057	226.47992	27.55740619	2.842550053	0.005875947	1.676645534	0.040997052	402.5998077	0.692606694	0.875360145	0.266587518	38.17247789	0.303102647
Sensor3	413927.28	2025	329250	738797.4138	203.5707114	8.183539548	234.8607345	27.76025895	180.4737652	8.113539548	222.8607345	27.50025895	4.634053404	0.014308881	2.142373166	0.049099761	225465.4619	1444.5	166350	1182377.109	0.006406746	0.737807018	5.244160675	193.5047481	8.143539548	232.8607345	27.64025895	178.1270662	8.113539548	226.8607345	27.51025895	183.4332759	8.127220104	230.7218456	27.56171728	2.373652758	0.00754905	1.451361121	0.040915549	253.981026	0.652458263	0.603493663	0.136163914	35.63479216	0.377303521
Sensor4	457264.9294	885.0000001	264600.0001	738829.185	204.2998293	8.151042373	226.0935028	27.77206685	180.6722256	8.111042373	211.0935028	27.50206685	5.539236356	0.013953731	2.359907526	0.048068303	245731.7078	358.5000001	225300	1182340.668	0.001458908	0.916853596	4.811510402	195.751319	8.121042373	227.0935028	27.63206685	176.6546764	8.101042373	218.0935028	27.50206685	182.4341206	8.109445151	223.3435028	27.5608863	2.815017764	0.005629989	1.905090713	0.040701824	353.5044788	0.499853389	-0.073262309	0.002458274	26.53364097	0.147183514
Sensor5	461840.0463	1053	225300	738893.2681	204.837543	8.174612994	228.5443503	27.77328719	179.6161688	8.104612994	212.5443503	27.50328719	4.890103954	0.015960704	2.698522273	0.055037837	281737.1396	416.9999999	417449.9986	1182153.021	0.001480103	1.48170028	4.195943148	193.0445305	8.114612994	229.5443503	27.63328719	175.8133967	8.094612994	216.5443503	27.50328719	182.4381821	8.104404661	226.2596281	27.55648164	2.893845713	0.006198212	1.984778414	0.040807458	391.4167812	0.702847315	-0.223954143	0.023593453	50.13540727	0.499824381
Sensor6	448810.5418	1105.5	591599.9993	738875.6325	206.0365406	8.174330508	224.4573446	27.76571657	179.5791062	8.104330508	188.4573447	27.49571657	5.674564284	0.012967355	7.706062261	0.048920941	234614.7125	680.9999995	252900	1182281.241	0.002902631	1.077937515	5.039245956	193.7591058	8.134330508	227.4573446	27.63571657	177.2489162	8.104330508	216.4573446	27.49571657	182.7724241	8.120233286	222.353178	27.55953602	2.373089649	0.008228655	2.516293059	0.042161802	173.7271462	0.362881453	-0.109626422	0.013512155	30.57270161	0.295037804
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	796174.0496	1056	904200.0001	1200783.349	208.5420549	8.157347458	231.6844633	27.70614595	178.0223089	8.107347458	220.6844633	27.48614595	9.150764744	0.016887328	2.119270736	0.068820723	357244.1901	1081.499986	713100	1182521.661	0.003027341	1.996113638	3.310121463	194.6107568	8.127347458	235.6844633	27.64614595	183.3377622	8.117347458	227.6844633	27.52614595	187.3877888	8.122555791	231.3094633	27.56475706	1.957544359	0.005013095	1.942800947	0.023343321	193.6670575	0.245980175	-0.187244553	0.034534389	58.27090988	0.482842696
	886147.7683	1756.5	237599.9985	1201538.951	212.8711732	8.163550847	231.8618644	27.72334369	177.2121646	8.093550847	217.8618644	27.48334369	11.61828742	0.02082668	2.166357182	0.065532952	451513.6161	914.9999999	359400.0001	1182288.944	0.002026517	0.795989284	2.618501197	194.7458229	8.133550847	235.8618644	27.63334369	182.9544958	8.113550847	224.8618644	27.52334369	186.8340319	8.124939736	231.22992	27.55931591	2.114708466	0.003852365	2.510806092	0.022386292	341.0930202	0.38609971	-0.161357564	0.036703206	64.08107815	0.46017492
