Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
8.10715793230793	8.10189807282129	8.11302851470038	8.10132229321195	8.09812700726441	8.11037142039523
8.11826389619079	8.12135275858589	8.11408172677662	8.12110775410676	8.11649077489584	8.11822004181597
8.11146329418268	8.10477201178812	8.09260947465019	8.11289974865043	8.11786024425289	8.10796514849582
NaN	NaN	NaN	8.11155226380512	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39020.2708333334	39020.2673611111	39020.2569444445	39020.25	39020.232638889	39020.2673611111
39021.2534722222	39021.25	39021.25	39020.8541666667	39020.8333333334	39021.28125
39021.8611111111	39022.2638888889	39022.2604166666	39021.8784722222	39021.8715277778	39021.8645833334
NaN	NaN	NaN	39022.25	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
