Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
54115.4709143911	54032.2904560973	54008.4313113741	54033.1386065668	54007.7948783092	54005.23488208
54121.0680004393	53975.5472387513	53962.9344521761	53994.1670667823	53968.5591683488	54001.3309699481
54103.9333635788	53986.9593275497	53955.9130794454	53965.894190929	53976.3296715673	53960.9145744283
53968.900577411	53969.612919131	53976.7380791046	53975.1388545326	53968.8849153198	53979.8822074
51133.6065548665	53975.505587123	53978.0767895753	53957.2664595357	53989.2738862604	53974.251689637
53962.8256516926	53916.9666714474	53927.2919870106	53970.9535949361	53974.8266048413	53968.0073472179
54053.7236400163	NaN	NaN	53934.2458930344	53928.9562773695	53977.1772181693
NaN	NaN	NaN	NaN	NaN	53933.9902984848
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40116.0590277778	40115.6006944444	40115.6909722221	40115.5555555555	40115.7152777778	40115.59375
40116.28125	40116.1145833333	40116.0868055555	40115.8020833333	40116.1319444444	40115.7743055555
40116.4652777778	40116.3888888889	40116.4236111111	40116.0659722221	40116.40625	40116.1111111111
40116.7708333333	40116.9479166667	40116.8506944444	40116.5	40116.9479166667	40116.4097222221
40117.1076388889	40117.4756944445	40117.4930555556	40116.8611111111	40117.2604166667	40116.7222222221
40117.4479166667	40117.9340277779	40117.8506944445	40117.5	40117.4756944445	40116.9861111111
40117.7916666667	NaN	NaN	40117.8784722222	40117.8368055556	40117.4479166667
NaN	NaN	NaN	NaN	NaN	40117.8263888889
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
