Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
223.366128589377	220.638929690007	223.629560004369	217.429320503559	223.106060160243	220.670525672104
184.588804589799	188.827915427257	185.728705444623	188.708666249714	186.980786832309	186.396035067867
222.493533708106	221.408050937379	222.162129837983	218.635085983176	223.201852672009	219.649623267101
199.718357306361	197.230212522338	197.631558434689	200.951705118441	197.619111260174	198.503279149506
220.086634150537	218.867631234071	219.574214116833	215.511111260887	218.265864440611	218.591488415544
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.5694444444	40115.5520833333	40115.5625	40115.5625	40115.5590277778	40115.5625
40116.0208333333	40116.0104166666	40116.0208333333	40116.0138888889	40116.0138888889	40116.0208333333
40116.5694444444	40116.5625	40116.5659722221	40116.5694444444	40116.5694444444	40116.5694444444
40117.09375	40117.0833333334	40117.1006944445	40117.0868055556	40117.0798611111	40117.0868055556
40117.5555555556	40117.5520833334	40117.5590277779	40117.5694444445	40117.5659722222	40117.5590277779
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
