Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
183.142235871427	187.625977671451	184.329364932588	187.229867774145	185.447003133758	184.850232564743
179.073956724384	180.942882699536	179.323811890918	181.701740224739	179.870386902748	179.534415636033
191.443767703175	192.631890687617	191.482842102537	196.681071624064	193.284054600465	193.610241526026
190.997159291538	190.741778346647	190.567402272219	192.466468112121	190.064571652737	191.441263209936
187.48947906524	184.467126279698	185.120028467075	187.445145389226	187.081692610897	186.516060717205
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.9131944444	40115.9166666666	40115.9236111111	40115.9097222221	40115.9097222221	40115.9166666666
40116.1979166666	40116.2048611111	40116.2013888889	40116.1979166666	40116.2013888889	40116.2013888889
40116.8923611111	40116.9201388889	40116.9201388889	40116.9236111111	40116.8993055556	40116.90625
40117.2534722222	40117.2395833334	40117.2534722222	40117.2534722222	40117.2465277779	40117.2465277779
40118.1284722222	40118.2013888889	40118.1631944445	40118.1319444445	40118.1284722222	40118.1423611111
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
