Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
158.100198227138	154.184388448667	151.148858417952	154.181045757789	124.475505397537	155.455961181294
161.631417818969	154.059892370168	159.356003304729	159.639014051655	164.4562079713	158.696762445911
164.242441534024	158.002082571636	160.256904494549	163.940115119253	170.069898191853	159.878581848707
164.427744101844	161.513509275708	154.075166397617	165.66193445775	157.482548096685	167.657747322608
NaN	162.107218531068	167.273923302938	NaN	NaN	167.290178444842
NaN	166.738955973831	167.832899984754	NaN	NaN	173.139516631891
NaN	167.411954090799	167.950804378461	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.8541666666	40115.5902777778	40115.5729166666	40115.5972222221	40115.5659722221	40115.8819444444
40116.7743055555	40115.8472222221	40116.2118055555	40116.5486111111	40116.9409722222	40116.2222222221
40117.3576388889	40116.4722222221	40116.4548611111	40117.3020833334	40117.3263888889	40116.59375
40117.9027777779	40116.8020833333	40116.7673611111	40117.6111111111	40118.2673611111	40117.2986111111
NaN	40117.3819444445	40117.3194444445	NaN	NaN	40117.5416666667
NaN	40117.8680555556	40117.8020833334	NaN	NaN	40118.1423611111
NaN	40118.1319444445	40118.0868055556	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
