Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.9979117177011	33.8893770797369	33.8898872924253	33.9050519347895	33.8991794460872	33.8797456172097
34.3206045579243	33.8811673568588	33.935513896486	33.9309422201055	33.9299769877348	33.8743764626048
34.2040774722694	33.9228235074229	33.8386340445601	33.8411682149587	33.7995074157664	33.9238580999581
NaN	33.8256819423196	34.0270669119773	34.0373307213787	34.0327560883709	33.8018555139975
NaN	34.0298795275721	NaN	NaN	NaN	34.0275843860334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40116.1041666666	40116.0868055555	40116.1076388889	40116.1111111111	40116.0798611111	40116.0798611111
40116.9131944445	40116.3159722221	40116.9340277779	40116.9236111111	40116.9097222222	40116.3055555555
40117.3020833334	40116.9166666667	40117.2777777779	40117.2847222222	40117.28125	40116.9201388889
NaN	40117.2569444445	40117.8472222222	40117.8333333334	40117.84375	40117.28125
NaN	40117.8333333334	NaN	NaN	NaN	40117.8541666667
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
