Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.7073318512853	33.6304182182241	33.6158013511785	33.6478909482997	33.5900695788898	33.6207088427957
33.7182330995832	33.8685677304043	33.7807512101731	33.6050971093409	33.7528792389327	33.863532058647
31.7719519584022	33.6144495925987	33.7382012620825	33.7491830030169	33.7296946595546	33.6029751947584
33.7789061696571	33.7834408239709	34.0035553493155	33.7265193743002	34.0095319938761	33.7496569674893
NaN	33.7147925954135	NaN	34.0088670253533	NaN	33.735722740012
NaN	33.9977320860384	NaN	NaN	NaN	34.0154681332979
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.5069444444	40115.5243055555	40116.6180555555	40115.5173611111	40116.6145833333	40115.5277777778
40116.7222222221	40116.2118055555	40117.1388888889	40116.6180555555	40117.1354166667	40116.2013888889
40117.1076388889	40116.6215277778	40117.5868055556	40117.125	40117.5868055556	40116.6354166666
40117.4444444445	40117.125	40117.9861111111	40117.5902777779	40117.9791666667	40117.1319444445
NaN	40117.5868055556	NaN	40117.9583333334	NaN	40117.5972222222
NaN	40117.9722222222	NaN	NaN	NaN	40117.9618055556
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
