Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
27.3452642231259	27.3576760655476	27.344399843411	27.329517515609	27.3417064401034	27.3575222748982
27.3001592807891	27.3821762237161	27.3014494047604	27.2895103250287	27.2967849037595	27.3059668620526
27.4984845880276	27.3065348168696	27.4856247925802	27.4705865329542	27.4947522483765	27.4996468902174
27.1212676956071	27.473561953518	27.1203673472848	27.1155655721477	27.1142211095338	27.1272742645986
NaN	27.1169897049507	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40116.1006944444	40116.0902777778	40116.1006944444	40116.0972222221	40116.0972222221	40116.09375
40116.9201388889	40116.3194444444	40116.9270833334	40116.9131944445	40116.9166666667	40116.9236111111
40117.4548611111	40116.9236111111	40117.28125	40117.2777777779	40117.2777777779	40117.4479166667
40117.8472222222	40117.2708333334	40117.8472222222	40117.8402777779	40117.8402777779	40117.8472222222
NaN	40117.8472222222	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
