Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-68.3447968514833	-67.5361268609116	-65.1810569219199	-67.5832118895595	-67.8900872085057	-68.1208703864692
-65.8894195104708	-65.7087257695235	-68.0737989245146	-65.7909178327383	-66.2150232363517	-66.4395500163174
-68.9950827542791	-68.1457117409844	-66.8887267459318	-68.6931155226908	-68.7900136669643	-68.9936600563591
-67.3660624384126	-67.3851763815538	-69.3698892760574	-67.5230085712082	-67.2429850699268	-67.4303031371911
-68.9911999730537	-69.0250580817208	-68.7287497728902	-68.6370185875978	-68.5159678329434	-68.4784497075728
NaN	NaN	NaN	NaN	NaN	-66.5093261099955
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.5763888889	40115.5763888889	40116.0590277778	40115.5625	40115.6076388889	40115.5902777778
40116.0208333333	40115.9965277778	40116.5763888889	40116.0138888889	40115.9895833333	40116.0243055555
40116.5833333333	40116.5972222221	40117.0798611111	40116.5798611111	40116.59375	40116.6215277778
40117.0798611111	40117.0729166667	40117.5555555556	40117.0659722222	40117.0659722222	40117.0555555556
40117.5729166667	40117.5659722222	40117.9305555556	40117.4930555556	40117.5243055556	40117.5729166667
NaN	NaN	NaN	NaN	NaN	40117.8958333334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
