Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.686345162417467	-0.510380894918569	-0.607375062910108	-0.491159600836909	-0.606727359727728	-0.556796095747075
-0.169977605601929	-0.226758456507781	-0.198167761239773	-0.209146071402614	-0.208473084202609	-0.209085671747175
-0.567876678953809	-0.457870381292594	-0.500871323829188	-0.372688274653882	-0.540039535952047	-0.447220953418366
-0.300910509182785	-0.228395138463469	-0.252694287603987	-0.282035854468717	-0.252299674654552	-0.240877986582746
-0.430894129204631	-0.439535397728292	-0.435043965185912	-0.386106619155669	-0.429895204112569	-0.391163995804789
-0.181942134947093	-0.210927033089206	-0.256231598371642	-0.229773609890202	-0.209797538349534	-0.250585976845429
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.7222222221	40115.7361111111	40115.7430555555	40115.7395833333	40115.7291666666	40115.7291666666
40116.1180555555	40116.1145833333	40116.1180555555	40116.1111111111	40116.1145833333	40116.1145833333
40116.7083333333	40116.7118055555	40116.7152777778	40116.7013888889	40116.7048611111	40116.71875
40117.1770833334	40117.1666666667	40117.1805555556	40117.1770833334	40117.1701388889	40117.1736111111
40117.7083333334	40117.7118055556	40117.7118055556	40117.7118055556	40117.7083333334	40117.7048611111
40118.0138888889	40118.0451388889	40118.0381944445	40118.0243055556	40118.0173611111	40118.0208333334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
