Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00125563388289152	0.0642709317720005	0.106819174146239	0.102348152531221	0.357583966940865	0.108040291595984
0.0579129953253528	0.0659472824098657	0.0838525568876207	0.0777016057089668	0.134614780411795	0.0894700583868087
0.0277916812139267	0.0353911102978373	0.0291071872188695	0.101632815916645	0.305754396725234	0.0422324100580909
0.0360512569113212	0.0733232367461198	0.0545010218781101	0.0430279454849085	0.0236595491492722	0.111761698411698
0.0444202290282192	0.0478553601595877	0.432245259630548	0.0721253167358782	0.273370290071824	0.0899491113469253
0.012087248675158	0.528951868878636	0.229251057042177	0.0585969208739812	0.7577351569673	0.0278935402016316
NaN	0.0492089209879225	0.0374057554680007	0.0219705879910634	-0.192630920454747	0.124402370610994
NaN	0.0156323391151432	0.0168623096300564	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.6319444444	40115.6319444444	40115.6388888889	40115.6701388889	40115.6493055555	40115.6840277778
40115.9583333333	40115.9583333333	40115.9756944444	40116	40115.9166666666	40115.9965277778
40116.3055555555	40116.21875	40116.3125	40116.6597222221	40116.2638888889	40116.3402777778
40117.0902777779	40116.6041666666	40116.5416666666	40117.0034722222	40116.6770833333	40116.71875
40117.5694444445	40116.9548611111	40116.8645833333	40117.3854166667	40117.0520833334	40117.0347222222
40117.9722222222	40117.5138888889	40117.4861111111	40117.7256944445	40117.4930555556	40117.3506944445
NaN	40117.9166666667	40117.8506944445	40118.1597222222	40117.90625	40117.6666666667
NaN	40118.2013888889	40118.1631944445	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
