Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.0863119746564394	-0.0518378317786983	0.00123079950495253	-0.523340362918304	0.0945576793890552	0.0306823674451095
0.0065251072814192	0.0202912475637049	-0.00391123010876981	0.00987584600974856	0.045569135820017	-0.0122274665957036
-0.0265946813555615	-0.028143898359076	-0.00511648057783987	-0.0885641461260605	0.00626620951302925	-0.0170417338543984
-0.00383439579763944	-0.00154006852093858	-0.246751054862813	0.0205523953615341	-0.164889669127064	-0.0288400501880517
-0.0488103563303071	-0.0989153829263216	-0.0723743207718144	-0.0896471136623802	-0.155587507256968	0.0179294433754933
NaN	-0.420644466815702	-0.235396536326988	-0.0284552326427843	-0.553753818675546	-0.0596570993251078
NaN	-0.0211723742189065	-0.0258704170759643	-0.000761498409104888	-0.280984922123366	-0.0392154238022044
NaN	NaN	NaN	NaN	NaN	-0.0191476827308747
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.7465277778	40115.7638888889	40115.7916666666	40115.4375	40115.8159722221	40115.5243055555
40116.1458333333	40116.1145833333	40116.1805555555	40115.8368055555	40116.0659722221	40115.8472222221
40116.6805555555	40116.3958333333	40116.4305555555	40116.4479166666	40116.6006944444	40116.1666666666
40117.2951388889	40116.7847222221	40116.6979166666	40116.8402777778	40116.8472222221	40116.5347222221
40117.7708333334	40117.3194444445	40117.1979166667	40117.2083333334	40117.2395833334	40116.8819444445
NaN	40117.71875	40117.6701388889	40117.5451388889	40117.7152777779	40117.2118055556
NaN	40118.0590277779	40117.9965277779	40118.0173611111	40118.0347222222	40117.4791666667
NaN	NaN	NaN	NaN	NaN	40118.0520833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
