Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0469540553721401	0.0340175297539957	0.0320404554742169	0.0357918838109157	0.0349769673406826	0.034101926308594
0.0130405688682487	0.0156539340744786	0.0107300033639461	0.0161931830241002	0.0152426791524789	0.0138308921739565
0.0418310597150366	0.0258519991166395	0.0364651472770134	0.0330584535320213	0.0353014381711176	0.0359833208463982
0.0393236070908216	0.0449546155290079	0.0465423424896301	0.0568304859050954	0.0525133695307147	0.0511849260957717
0.0486863796379282	0.0304217648577207	0.0199264428609638	0.0358460889704162	0.0294719656948672	0.0439653876959056
0.0258952318839647	0.026309818062785	0.0236058621354402	0.028270187918281	0.0274040373076332	0.0307482168473712
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.7256944444	40115.7291666666	40115.7256944444	40115.7395833333	40115.7465277778	40115.7430555555
40116.125	40116.1145833333	40116.1284722221	40116.1111111111	40116.1145833333	40116.1111111111
40116.7222222221	40116.7430555555	40116.7152777778	40116.7118055555	40116.7326388889	40116.7326388889
40117.1770833334	40117.1701388889	40117.1805555556	40117.1701388889	40117.1736111111	40117.1736111111
40117.7326388889	40117.7291666667	40117.6631944445	40117.7291666667	40117.7326388889	40117.7013888889
40118.0243055556	40118.0381944445	40118.0277777779	40118.0208333334	40118.0138888889	40118.0173611111
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
