Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00602820598919607	-0.00445926176290357	-0.0204881656193834	-0.00833948727067479	-0.0105418547372125	-0.00887165799875334
-0.0552420012938342	-0.047903885597691	-0.0486361040171914	-0.0514401703818237	-0.0035714248689942	-0.0417442834206554
-0.0171211931500892	-0.0206290183519826	-0.0187436268953434	-0.0155041005614578	-0.0503745827919033	-0.00961244525699101
-0.0607551001771895	-0.0654863188332797	-0.0789867215711411	-0.075407087243903	-0.0150514126777921	-0.0573507759422114
0.00886133830992719	0.00208835065784285	-0.0101154852868461	-0.000609937482749956	-0.0709060733716598	-0.00234663702683235
NaN	NaN	-0.0118954066804235	NaN	0.00672501735942888	-0.0105773498895303
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40115.9513888889	40115.9444444444	40115.9548611111	40115.9444444444	40115.5347222221	40115.9548611111
40116.3888888889	40116.3993055555	40116.3784722221	40116.3576388889	40115.9409722221	40116.4895833333
40117.0069444445	40117	40117.0104166667	40117.0069444445	40116.40625	40117
40117.3611111111	40117.3576388889	40117.375	40117.34375	40117.0034722222	40117.3645833334
40117.8958333334	40117.8854166667	40117.8645833334	40117.8784722222	40117.3611111111	40117.8680555556
NaN	NaN	40118.1909722222	NaN	40117.8784722222	40118.1909722222
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
