Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	25214017.43	1180448.255	3000.9	29550.00001	1241203.724	0.046817143	0.000119017	0.001171967	0.049226734	1046.866	224.7876523	8.215482127	164.5523997	27.79351831	1.044518	180.9644465	8.145482127	161.5523997	27.36351831	556.6131938	207.0534703	8.191919213	162.2146514	27.58145209	329.2874491	13.18760086	0.022426049	0.510782631	0.146235867	0.028490654	0.50608517	4.26E-05	0.392102974	0.001077853	0.482833388	0.00012063	0.073782026
Sensor2	NaN	1267588.621	2417.399991	84720.00001	1240970.174	0.050273171	9.59E-05	0.003360036	0.049217471	NaN	221.9063325	8.203232408	164.406168	27.79342832	NaN	182.9532441	8.125232409	157.406168	27.33542832	NaN	207.379138	8.178755587	159.3028567	27.5761568	NaN	12.21832261	0.019402692	1.325011557	0.150884235	0.025840136	0.484972106	2.77E-05	0.221004352	-0.002326792	0.334369155	0.000123938	0.07315932
Sensor3	NaN	1279289.445	2185.799982	460079.9834	1241102.022	0.050737232	8.67E-05	0.018246992	0.0492227	NaN	222.5241013	8.19746188	162.470285	27.79515161	NaN	181.7747264	8.13146188	159.470285	27.36715161	NaN	207.3245122	8.179766516	160.488828	27.57905889	NaN	12.75317629	0.017736965	0.916326285	0.146630481	0.026434234	0.465851055	3.48E-05	0.418049285	-0.000199575	0.00514356	0.000114167	0.06573282
Sensor4	NaN	1090078.45	2525.1	124290	1240472.613	0.043233033	0.000100147	0.004929401	0.049197738	NaN	220.0371842	8.214095675	164.0727823	27.77358473	NaN	184.9243113	8.144095675	159.0727823	27.33558473	NaN	206.1098262	8.189936735	161.8462923	27.56505493	NaN	10.87949429	0.019199338	1.469453503	0.144466227	0.021275495	0.414660141	3.84E-05	0.432760114	-0.003517595	0.621341446	0.000106568	0.059002176
Sensor5	NaN	1230797.768	2450.1	557579.9994	1241589.478	0.048814029	9.72E-05	0.02211389	0.049242033	NaN	224.0583716	8.213716098	173.8608362	27.79507062	NaN	183.2034567	8.143716098	154.8608362	27.37507062	NaN	207.4465129	8.187901528	167.213154	27.58978585	NaN	13.19995589	0.021166453	4.282161984	0.14909815	0.027062975	0.455781264	3.33E-05	0.268472172	0.005267263	0.16405677	0.000142422	0.09893772
Sensor6	NaN	1161392.413	3255.899999	72149.99998	1240867.947	0.046061379	0.000129131	0.002861504	0.049213417	NaN	221.3608972	8.238721722	167.8156168	27.7771966	NaN	182.7512899	8.150721722	158.8156168	27.3671966	NaN	206.1975973	8.190960133	160.4381334	27.57396481	NaN	11.93422258	0.019951845	1.288625737	0.141996781	0.024147159	0.443909242	1.95E-05	0.103855656	-0.001054966	0.072673166	0.000102789	0.056818462
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	23690312.04	1275838.153	3214.5	163080	1253777.635	0.053854848	0.000135688	0.006883827	0.052923644	931.904	222.0469251	8.215482127	166.5523997	27.70151831	1.044518	187.4529638	8.137482127	163.5523997	26.96151831	516.1400505	208.8118529	8.195652062	165.1249487	27.49337452	316.6752477	9.963825024	0.021024982	0.953403548	0.132217744	0.024586102	0.610598056	4.87E-05	0.538358749	-0.000426222	0.020042214	0.000195896	0.220140843
	NaN	1320688.477	3308.39999	655740	1253793.931	0.055748041	0.000139652	0.027679669	0.052924332	NaN	220.3232086	8.243232408	185.406168	27.71142832	NaN	186.3216938	8.143232408	163.406168	26.94942832	NaN	208.1805146	8.197559206	171.751266	27.49355904	NaN	9.411701777	0.021400267	8.508578806	0.136356088	0.024038895	0.65421565	4.36E-05	0.415327407	0.003998885	0.022150929	0.000254725	0.349964345
	NaN	1339068.285	2799.899982	940619.9833	1253804.713	0.056523877	0.000118188	0.039704837	0.052924787	NaN	221.3951434	8.24746188	182.470285	27.69715161	NaN	187.4421525	8.13146188	150.2702853	26.90715161	NaN	208.2756384	8.192677566	170.8572131	27.49363527	NaN	10.03679092	0.026096214	4.829823631	0.13294578	0.023925991	0.569873342	4.90E-05	0.353722884	0.008460621	0.307730263	0.000228902	0.297289606
	NaN	1125864.244	2648.1	296490	1252997.964	0.047524247	0.00011178	0.012515242	0.052890733	NaN	217.4372783	8.214095675	170.2727824	27.69358473	NaN	188.8651516	8.134095675	163.0727823	26.94558473	NaN	206.5858217	8.191886525	165.5852006	27.47608147	NaN	8.058847815	0.021232006	1.247066043	0.137030784	0.019506992	0.587574527	4.85E-05	0.522461559	0.000830103	0.044433748	0.000233816	0.291971354
	NaN	1245575.783	2465.1	1460489.999	1253815.12	0.052577433	0.000104055	0.061649251	0.052925226	NaN	220.5843222	8.233716097	206.0608361	27.69507062	NaN	185.264963	8.133716098	158.2608362	26.93707062	NaN	207.4155626	8.18748734	186.7340388	27.49392029	NaN	9.530749216	0.021344449	14.13327078	0.13815127	0.022687808	0.56827587	4.56E-05	0.45673684	0.014288952	0.102504662	0.000232001	0.282812887
	NaN	1266996.987	2921.700001	447300	1253730.865	0.05348165	0.000123329	0.018881136	0.05292167	NaN	221.0738291	8.226721722	173.8156168	27.6971966	NaN	188.7966304	8.128721722	166.8156168	26.9771966	NaN	208.1824025	8.182630219	168.6391462	27.49232078	NaN	9.314107251	0.022597554	1.754384158	0.129843596	0.022695727	0.595434436	4.72E-05	0.436792433	-0.002559386	0.21342748	0.000210541	0.263670916
																																					
	intPAR3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_PAR3	ratiopH_PAR3	ratioORP_PAR3	ratioTC_PAR3	PARmax3	DOXYmax3	pHmax3	ORPmax3	TCmax3	PARmin3	DOXYmin3	pHmin3	ORPmin3	TCmin3	PARmean3	DOXYmean3	pHmean3	ORPmean3	TCmean3	PARstd3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_PAR3	rsqDOXY_PAR3	slopespH_PAR3	rsqpH_PAR3	slopesORP_PAR3	rsqORP_PAR3	slopesTC_PAR3	rsqTC_PAR3
	1102966.589	70091.56546	137.0999999	27990	209904.7428	0.063548222	0.000124301	0.025377015	0.190309249	383.62	195.7523926	8.155482127	165.5523997	26.98151831	2.39732	181.5088373	8.125482127	164.5523997	26.83351831	143.3171835	190.0072889	8.143185831	165.1375849	26.91218498	119.8735813	4.734780902	0.009855942	0.49590919	0.053467459	0.032857133	0.692000688	6.32E-05	0.590483837	0.00328771	0.631581811	-0.000208254	0.217998296
