Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
8.14730372431923	8.14089731039713	8.13954593217045	8.14520431325044	8.14961231307857	8.15879689198321
8.17222506954603	8.17148031966468	8.16353888478512	8.15186117379696	8.14752660325165	8.14829694346351
8.15968419114088	8.15763187166866	8.14639968091618	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40116.2118055555	40116.2152777778	40115.8784722221	40116.1944444444	40116.2222222221	40116.2048611111
40116.8958333334	40116.8958333334	40116.8819444445	40117.2465277779	40117.2604166667	40117.2673611111
40117.2569444445	40117.2534722222	40117.2604166667	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
