Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
210.762079336235	213.627570085854	197.703047908059	214.790836283937	219.212434885088	211.45881651854
195.971925510117	191.153416877266	210.011413012671	194.135773340975	191.400229874378	190.638042580267
209.426985321693	211.429835023592	190.162751552214	212.692696621668	215.763352406434	208.955304577094
212.110659895759	214.201937068851	212.768070157154	215.835483454882	214.807748864871	209.633520767833
NaN	NaN	NaN	NaN	183.191957529089	212.88560879148
NaN	NaN	NaN	NaN	218.934923546567	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.5625	40121.5729166666	40122.0763888889	40121.5625	40121.5486111111	40121.5625
40122.0659722221	40122.0625	40122.4895833333	40122.0590277778	40122.0590277778	40122.0659722221
40122.5590277778	40122.5868055555	40123.1111111111	40122.5902777778	40122.4479166666	40122.4583333333
40123.5347222222	40123.5486111111	40123.5381944445	40123.5138888889	40122.5659722221	40122.5972222221
NaN	NaN	NaN	NaN	40123.1215277779	40123.5486111111
NaN	NaN	NaN	NaN	40123.5208333334	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
