Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
130.848629651206	133.572000264433	131.779829735589	133.658483576884	140.487457810399	126.383073610136
135.460224814265	133.665611180708	132.012480770822	145.252009597862	139.121207082716	131.704401437397
159.394710749183	132.937020649732	137.327712179107	147.299367155481	136.897517223337	135.602149554488
139.514066948576	134.987418077831	148.68668513861	NaN	141.336073200294	139.899645948822
NaN	164.113027569327	NaN	NaN	NaN	144.044964136647
NaN	136.558854147309	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40122.4305555555	40122.2604166666	40122.1736111111	40122.3159722221	40122.0173611111	40121.7534722221
40123.2673611111	40122.7604166666	40122.5069444444	40123.3472222222	40122.3472222221	40122.2222222221
40123.6180555556	40123	40123.2673611111	40124.1631944445	40123.03125	40122.8125
40123.9861111111	40123.2708333334	40123.6215277779	NaN	40123.3784722222	40123.4131944445
NaN	40123.6354166667	NaN	NaN	NaN	40124.1666666667
NaN	40123.9861111111	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
