Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.6669640637675	33.6960414320232	33.6756741710626	33.9123995268747	33.6818532710299	33.7741782460071
33.7474762832262	33.6411897298018	33.7081686112486	33.8125853446473	33.6881735098339	33.5305484726068
33.6721836485568	33.7559282807318	33.6898790498829	33.8359361824745	33.4888987546641	33.1923337258018
33.780607501915	33.7038784801172	33.7676375128736	31.660893251976	33.6948053775105	33.7804653244964
33.6969351201795	NaN	33.7005237546587	32.3950825882635	33.6782070655071	33.23943446238
NaN	NaN	NaN	33.8971229369284	33.7205428017329	33.1485693874674
NaN	NaN	NaN	33.9632019382517	NaN	33.7786585875874
NaN	NaN	NaN	33.870559875236	NaN	33.8374558946834
NaN	NaN	NaN	NaN	NaN	33.879141221229
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.5729166666	40121.5868055555	40121.6180555555	40121.6319444444	40121.5555555555	40121.4791666666
40122.1041666666	40122.8402777778	40121.9409722221	40122.0138888889	40121.8854166666	40121.8020833333
40122.6909722221	40123.2326388889	40122.6319444444	40122.5451388889	40122.1215277778	40122.0729166666
40123.2013888889	40123.5729166667	40123.1944444445	40122.8888888889	40122.5069444444	40122.4791666666
40123.5833333334	NaN	40123.5833333334	40123.1493055556	40123.2326388889	40122.8333333333
NaN	NaN	NaN	40123.53125	40123.5590277779	40123.1875
NaN	NaN	NaN	40123.7673611111	NaN	40123.53125
NaN	NaN	NaN	40124.1527777779	NaN	40123.7777777779
NaN	NaN	NaN	NaN	NaN	40124.1284722222
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
