Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-72.2514724543435	-72.9104589101284	-75.0772405512045	-73.6515647539927	-71.7245479621426	-73.8735345313677
-72.9957766911678	-73.1860856141885	-74.5080741741018	-71.5068878005148	-72.6388343281307	-73.5565645752687
-72.9623206110967	-72.2945829166982	-72.4059547715637	-72.460522928187	-72.7016135078073	-71.8693524352424
-73.7662671782071	-72.5051029518095	-72.3283062426797	-72.4852881991037	-73.3994759805984	-72.5598073297346
-73.0804966943923	NaN	-70.406716756263	-73.5265648907315	-73.5952908683577	-71.5980793227041
NaN	NaN	NaN	-72.8215486646702	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.8854166666	40121.90625	40121.9131944444	40121.5138888889	40121.8715277778	40121.9270833333
40122.2222222221	40122.2048611111	40122.2569444444	40121.8645833333	40122.2118055555	40122.2118055555
40122.9583333334	40123.0138888889	40122.9444444445	40122.21875	40122.9583333334	40123.0069444445
40123.2743055556	40124.0208333334	40123.28125	40122.9444444445	40123.2465277779	40123.2951388889
40123.9930555556	NaN	40123.9722222222	40123.3020833334	40123.9826388889	40124.0034722222
NaN	NaN	NaN	40123.9791666667	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
