Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-73.6579583511004	-75.1626642393001	-77.9063256519921	-73.6720688314412	-73.1240095023945	-74.2377284194141
-73.5368283120956	-73.6694737808228	-75.7310188362539	-73.5273095801364	-73.2213322000889	-74.7512331189098
-75.0573515485178	-75.1784722714012	-75.4009979925878	-75.4567430042992	-75.3789239332759	-72.5821103583026
-73.8172162484141	-75.0699931399863	-72.7468788110036	-73.7823661310454	-73.4167489735975	-74.1305010347725
-75.8106877009173	NaN	-73.490821556881	-76.6005936344915	-76.0375973204122	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.6145833333	40121.5451388889	40121.5416666666	40121.5833333333	40121.6180555555	40122.0486111111
40122.0798611111	40122.0659722221	40122.0625	40122.0659722221	40122.0763888889	40122.5763888889
40122.5798611111	40122.5833333333	40122.5416666666	40122.5972222221	40122.5902777778	40123.2395833334
40123.2048611111	40123.5486111111	40123.1284722222	40123.1979166667	40123.1979166667	40123.5625
40123.5590277779	NaN	40123.46875	40123.5659722222	40123.5798611111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
