Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.149816778859531	-0.0794912954515894	-0.5812383913144	-0.851148870817269	-7.71635004447307	-16.3806968709177
-0.303308653121348	-3.65987254906941	-4.41634006026288	-10.1211016736415	-9.91364929534757	-23.6912390720172
-0.346562615333823	-1.37305659268168	-1.0857522701408	-2.08923452595627	-3.31102098353585	-6.61225535316044
-0.222090431336255	-0.439551894691249	-0.355424342429615	-6.45695894866367	-0.648729341672151	-27.8226027364362
-0.168052713568613	-3.49897083354881	-0.586788041633554	-103.541987226512	-0.232576505775796	-41.8767742800555
-0.778059218144335	-1.43871806377865	-0.927466202403593	-36.60970191464	-6.91645303581754	-9.75120320756832
-0.047522624481644	0.0186800233204849	-0.646028252071119	-17.1207585047523	-1.10311559168622	-1.66547388221079
-0.723178513595485	-0.156801147975784	-0.287447544826136	-2.65529175564734	-0.306352928710112	-3.67051655984687
-0.289206172164995	-0.274919502684497	-0.498753436739207	-8.12519204447744	-0.532488186283445	NaN
NaN	-0.25554273914895	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.5416666666	40121.5694444444	40121.5659722221	40121.5486111111	40121.8159722221	40121.7256944444
40121.9409722221	40121.84375	40121.8541666666	40121.9131944444	40122.0590277778	40121.9965277778
40122.2881944444	40122.1666666666	40122.2013888889	40122.2291666666	40122.375	40122.3368055555
40122.6701388889	40122.5034722221	40122.5	40122.4826388889	40122.6631944444	40122.75
40123.1076388889	40122.7881944444	40122.7569444444	40122.7986111111	40122.84375	40123.1006944445
40123.3958333334	40123.1354166667	40123.0833333334	40123.0902777779	40123.1493055556	40123.4305555556
40123.6284722222	40123.4270833334	40123.3541666667	40123.40625	40123.4722222222	40123.7152777779
40123.90625	40123.6493055556	40123.7083333334	40123.7048611111	40123.71875	40124.0208333334
40124.1458333334	40123.9236111111	40123.96875	40124.0486111111	40123.9409722222	NaN
NaN	40124.2256944445	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
