Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0582010899481418	0.100362306163134	-0.024648821898154	0.159427316378867	0.235229067521999	0.070884504954364
0.2799016496555	0.19905811428805	0.349264421633734	0.317469921366126	0.306229526369862	0.20251383156716
0.440083571498292	0.521953011567632	0.494348539762797	0.516383138882105	0.788377308678264	0.501654125053506
0.0930502182508803	0.0569145559096	0.151146706648547	0.091677955019577	0.00721724127024004	0.0432617111693219
0.422464242036	0.11271634163802	0.506123315415067	0.120390591664119	0.135676966833302	0.105396725991511
0.116871748340458	0.458383424749655	0.122918190695401	0.576026200732485	0.707449675681289	0.42818038952089
0.152822269876992	-0.263104395996351	0.154647017228996	0.0973412303567045	0.120470275994649	0.184521752547397
NaN	0.214257943931216	NaN	0.133629062909876	0.193772837175572	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.4895833333	40121.4965277778	40121.53125	40121.4618055555	40121.4444444444	40121.4791666666
40121.9756944444	40121.9826388889	40121.9861111111	40121.9652777778	40121.9722222221	40121.9861111111
40122.3125	40122.3020833333	40122.3333333333	40122.3159722221	40122.3090277778	40122.3020833333
40123.0520833334	40122.5416666666	40122.9826388889	40122.5381944444	40122.5486111111	40122.5555555555
40123.3888888889	40123.1215277779	40123.3923611111	40123.0833333334	40123	40123.0868055556
40124.0347222222	40123.40625	40124.0555555556	40123.3715277779	40123.3784722222	40123.4027777779
40124.2465277779	40123.7604166667	40124.2430555556	40124.0277777779	40124.03125	40124.2361111111
NaN	40124.2048611111	NaN	40124.2326388889	40124.2465277779	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
