Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0520127686711191	0.127663619349832	0.0884179777379472	0.239506492620833	0.205203048700724	0.116061723702572
0.0728929043431066	0.100423972675017	0.0746359744338179	0.247943123548538	0.310921890400095	0.0938954174086746
0.0935139841552655	0.0404335674968479	0.0118244145606639	0.116021931048834	0.138176751805048	0.0624980206437442
0.0407559125816306	0.00157442770887428	0.042349231719129	0.0451351177575248	0.0355290973056697	0.0412275231402361
0.055259854918603	0.0778552323436088	0.0432682258339412	0.0907413878719296	0.124540405620735	0.148775163078142
0.694819087585046	0.941082909037704	0.392107721316791	0.0889357067896128	-0.00976902773402344	0.0702370025937284
0.155378252168873	0.0990976583294696	0.0764214990677488	0.0528268628394812	0.0350093919213634	NaN
0.659024304627707	0.118076804598019	0.0274927884617853	NaN	0.0251373215215835	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.6354166666	40121.6354166666	40121.6493055555	40121.6284722221	40121.6215277778	40121.6319444444
40121.9131944444	40121.9027777778	40121.9305555555	40121.9027777778	40121.8958333333	40122.0243055555
40122.2881944444	40122.5381944444	40122.4131944444	40122.1666666666	40122.2569444444	40122.4722222221
40122.9479166667	40122.9756944445	40122.7152777778	40122.4930555555	40122.8923611111	40123.0451388889
40123.1979166667	40123.2083333334	40123.1979166667	40122.7881944444	40123.2777777779	40123.7361111111
40123.5243055556	40123.5381944445	40123.5277777779	40123.7291666667	40123.6006944445	40124.0590277779
40123.8993055556	40123.90625	40123.8784722222	40124.0173611111	40123.9375	NaN
40124.2465277779	40124.2361111111	40124.2118055556	NaN	40124.2222222222	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
