Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
NaN	NaN	NaN	-0.00786870945483997	-0.00781014474335961	-0.0105394028613119
NaN	NaN	NaN	-0.00653140211497316	-0.00571952703878509	-0.0180523592439954
NaN	NaN	NaN	-0.0684494177885924	NaN	-0.00647894781342018
NaN	NaN	NaN	-0.0267532280691185	NaN	-0.0184508749332437
NaN	NaN	NaN	-0.0152640131759298	NaN	-0.0297996623943035
NaN	NaN	NaN	-0.00669604063443785	NaN	-0.00857425796375111
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	40121.9305555555	40122.0520833333	40121.7222222221
NaN	NaN	NaN	40122.4722222221	40123.1458333334	40121.9965277778
NaN	NaN	NaN	40122.7986111111	NaN	40122.3402777778
NaN	NaN	NaN	40123.0902777779	NaN	40122.75
NaN	NaN	NaN	40123.4201388889	NaN	40123.1041666667
NaN	NaN	NaN	40124.0590277779	NaN	40123.4340277779
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
