Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0314462015607404	0.0384409603160094	0.0434638117051236	0.0476891653189142	0.0308043864966407	0.0571604229810561
0.0204825826300521	0.0192516374761169	0.0352709181729409	0.0370561233673499	0.0232714774144824	0.023252663512622
0.0292034466497739	0.0342499143398953	0.0435931412571193	0.0479411734490327	0.0394681027493249	0.0377485676147842
0.00382149387458242	-0.0020655956467408	0.0151561436128418	0.0127077954414574	0.00178212777129261	0.00210425980465345
0.0396040378803519	0.0171776559952406	0.0245076720980535	0.0473369134591195	0.0435566464307016	0.0434069551299245
NaN	0.039664623801869	0.046353843662942	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40121.7881944444	40121.7881944444	40121.7847222221	40121.7604166666	40121.7708333333	40121.7847222221
40122.1458333333	40122.1354166666	40122.1527777778	40122.1388888889	40122.1423611111	40122.1284722221
40122.7395833333	40122.71875	40122.7465277778	40122.7777777778	40122.7430555555	40122.8263888889
40123.2395833334	40123.2638888889	40123.2152777779	40123.25	40123.2222222222	40123.2673611111
40123.8645833334	40123.625	40123.5416666667	40123.8472222222	40123.8576388889	40123.8819444445
NaN	40123.8958333334	40123.84375	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
