Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	21391675.52	815214.4046	1694.99997	131400.0001	1328628.006	0.038108955	7.92E-05	0.006142576	0.062109581	1050.047199	211.3346495	8.400785164	135.0481053	28.82831182	1.457639994	186.0132249	8.350785164	127.0481053	28.60831182	460.0461608	203.5620636	8.387365809	129.8997182	28.75766666	303.4854479	6.712386533	0.013600931	1.138428787	0.063385826	0.016869023	0.581703502	1.66E-05	0.13766455	0.001926927	0.26387284	3.82E-05	0.033451436
Sensor2	NaN	895090.4571	1360.499999	92550.00002	1328698.421	0.041842934	6.36E-05	0.004326449	0.062112873	NaN	215.1720255	8.411999037	133.7105331	28.84353725	NaN	186.2440811	8.361999037	130.7105331	28.63353725	NaN	205.0071765	8.391289359	132.7169847	28.75908564	NaN	7.72088918	0.012437359	0.936259303	0.065387376	0.019703901	0.599854002	2.52E-05	0.376904124	-0.001926831	0.390095471	4.64E-05	0.046367889
Sensor3	NaN	907360.6424	2806.499999	16650.00002	1328609.935	0.04241653	0.000131196	0.00077834	0.062108736	NaN	211.8709028	8.407871869	136.692036	28.84574534	NaN	183.6468102	8.357871869	131.692036	28.60574534	NaN	203.1863367	8.398452514	132.0662295	28.75729373	NaN	7.550604094	0.009884969	0.713036192	0.066889538	0.016745912	0.453033148	2.02E-05	0.383421227	-0.001049096	0.199380662	2.70E-05	0.015058253
Sensor4	NaN	1048306.815	2068.5	119400	1329052.806	0.049005363	9.67E-05	0.00558161	0.062129439	NaN	217.6758132	8.416900771	144.1047527	28.88231182	NaN	186.0660267	8.346900771	132.1047527	28.55231182	NaN	204.5615899	8.391545932	134.7112043	28.76676343	NaN	8.874051603	0.019714765	1.601528385	0.104285708	0.022352663	0.584373341	3.63E-05	0.31302831	-0.00201403	0.145659399	7.17E-05	0.043572009
Sensor5	NaN	1305186.822	1764	79050.00004	1329225.235	0.061013772	8.25E-05	0.003695363	0.0621375	NaN	221.8709047	8.413108863	140.7787412	28.85974534	NaN	178.4908997	8.353108863	134.7787412	28.63974534	NaN	206.5772251	8.391108863	136.4884186	28.77045502	NaN	11.59114298	0.017185013	1.678619338	0.072417527	0.031907193	0.697911583	3.10E-05	0.300592213	0.00121796	0.048488338	6.25E-05	0.068667741
Sensor6	NaN	875255.7821	2602.499998	110550	1328984.86	0.040915719	0.000121659	0.005167898	0.062126263	NaN	212.630627	8.424253372	138.4943481	28.84012685	NaN	185.4315424	8.354253372	130.4943481	28.62012685	NaN	204.2762362	8.390382404	132.9007997	28.76522362	NaN	7.026652642	0.013112257	1.673695553	0.064921208	0.017271383	0.556458809	1.93E-05	0.199082845	-0.002186236	0.157150922	5.57E-05	0.067780026
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	13254671.39	478661.4318	1333.499979	330150	869314.3481	0.036112659	0.000100606	0.0249082	0.065585507	1017.589998	212.4382059	8.420785164	165.0481053	28.78831182	1.457639994	187.4582848	8.360785164	132.0481055	28.59831182	438.1545272	201.8048392	8.394902811	138.0579093	28.69066476	301.9097856	8.628975075	0.016491999	7.934752604	0.049993593	0.02516063	0.774959456	4.54E-05	0.69012222	0.012973699	0.243677395	0.000112707	0.463266358
	NaN	481957.1456	643.4999996	127350	869775.6787	0.036361305	4.85E-05	0.009607933	0.065620313	NaN	215.8734926	8.411999037	164.7105331	28.79353725	NaN	185.7418383	8.361999037	131.7105331	28.64353725	NaN	201.6513499	8.383273546	135.0536703	28.70579215	NaN	9.622769338	0.015134484	6.916038319	0.042540763	0.028767292	0.814614579	4.35E-05	0.75210115	0.00691511	0.091125042	0.000109217	0.600790027
	NaN	516726.9938	759.0000005	170400	869014.5839	0.038984519	5.73E-05	0.012855845	0.065562892	NaN	212.9655519	8.387871869	150.692036	28.78574534	NaN	185.2596347	8.337871869	135.692036	28.58574534	NaN	200.6898146	8.362871869	137.3685066	28.68084338	NaN	9.952445101	0.014124622	3.374809905	0.052326944	0.029169975	0.783009281	1.64E-05	0.122578973	0.003182848	0.081075106	9.45E-05	0.297211064
	NaN	656898.1537	1524	362550	867839.5481	0.049559746	0.000114978	0.027352621	0.065474241	NaN	219.1879626	8.446900771	145.1047527	28.84231182	NaN	181.9698274	8.356900771	139.1047527	28.38231182	NaN	203.6452064	8.397341947	144.0459292	28.64280201	NaN	11.47737795	0.025350054	1.546785419	0.123034065	0.033881582	0.79432161	7.10E-05	0.715982437	-0.003550081	0.480143201	0.000143325	0.123693294
