Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	591038.6968	538.5	50250.00002	837265.8739	212.0070537	8.380785164	131.0481053	28.79831182	189.7414608	8.350785164	120.0481053	28.66831182	4.201301918	0.004470724	2.489806698	0.019446366	500426.905	915.0000005	137100	1230080.577	0.001828439	0.273966085	2.458062436	199.8286662	8.380785164	131.0481053	28.80831182	183.6154694	8.340785164	121.0481053	28.52831182	191.6452066	8.362174053	124.2564387	28.6739021	4.212991667	0.010748954	2.020437534	0.04671928	342.0006748	0.761386452	0.035358248	0.000287535	53.53665643	0.352463025
Sensor2	698533.22	1074	90900.00008	837123.934	215.3389739	8.401999037	147.7105331	28.80353725	186.991003	8.361999037	122.7105331	28.64353725	5.04673599	0.00654493	5.573835442	0.023888945	391823.5559	1189.5	250500	1229796.248	0.003035805	0.639318377	3.138648071	198.0492028	8.381999037	133.7105331	28.80353725	181.4820244	8.351999037	123.7105331	28.53353725	189.1395331	8.369776814	129.5438664	28.66728725	4.028162464	0.008805946	2.838299501	0.049102077	419.3607104	0.840453163	-0.441420386	0.096740262	52.96432006	0.416823864
Sensor3	647059.3794	3021	77850.00004	837282.6895	211.958183	8.447871869	134.692036	28.80574534	187.5701467	8.387871869	122.692036	28.66574534	4.328884384	0.009643334	2.713316625	0.019352011	522201.1537	4137	213750	1230229.975	0.007922235	0.409325024	2.355854572	199.7155547	8.427871869	133.692036	28.80574534	183.6468102	8.377871869	124.692036	28.55574534	191.6350343	8.404260758	129.6712026	28.67741201	4.705115844	0.011006108	2.110475869	0.048328711	295.0541923	0.476354756	0.631229746	0.080166893	55.73605648	0.32774967
Sensor4	814962.1155	754.4999999	134550	838466.7739	217.0388519	8.376900771	133.1047527	28.85231182	187.8746603	8.346900771	102.1047527	28.59231182	5.606135972	0.006874946	4.592745311	0.030374096	418341.4253	1116.000001	573599.9999	1229953.677	0.002667677	1.371128856	2.940071441	197.3991364	8.376900771	138.1047527	28.82231182	181.9727919	8.326900771	110.1047527	28.55231182	189.0259576	8.353011882	123.4797527	28.67120071	4.074877191	0.014870589	6.948235175	0.061006833	245.2152116	0.800796404	0.156572989	0.071277696	49.84068903	0.556795855
Sensor5	860951.8059	466.5	91949.99998	837789.0895	220.2934111	8.363108863	136.7787412	28.82974534	182.925213	8.343108863	116.7787412	28.65974534	7.859486053	0.005144657	3.259274424	0.026663861	555134.2634	860.9999999	427050.0014	1229701.075	0.001550976	0.769273362	2.215141735	206.4382933	8.373108864	141.7787412	28.80974534	173.2419799	8.333108863	124.7787411	28.50974534	186.2138248	8.353247752	134.6988801	28.66519673	4.607912819	0.011029909	4.833834423	0.056161957	302.5060733	0.524328618	0.147143108	0.023826205	33.26870543	0.164417396
Sensor6	622030.5302	3577.499999	110850	837209.1912	212.1292057	8.504253372	134.4943481	28.80012685	186.9614828	8.364253372	121.4943481	28.65012685	4.415776574	0.023954907	2.903544415	0.018845547	382425.0331	2962.5	124950	1229439.942	0.007746616	0.326730703	3.214852154	199.2961927	8.444253372	135.4943481	28.81012685	182.1843141	8.354253372	125.4943481	28.48012685	188.7909926	8.383350594	128.4249037	28.65908518	4.391178715	0.017696477	2.307339393	0.061379466	165.7395559	0.446132393	0.002423152	1.62E-06	43.63431791	0.371997795
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	741945.3832	1659	434400	1251195.064	211.3346495	8.400785164	134.0481053	28.82831182	189.7414608	8.360785164	127.0481054	28.60831182	5.909918023	0.012407999	0.913474423	0.060989944	355073.0925	1344	498000	1231379.577	0.003785136	1.402528129	3.467960831	198.7770291	8.400785164	139.0481053	28.80831182	179.9605784	8.350785164	130.0481053	28.58831182	188.2868239	8.372243497	132.6731053	28.70393682	3.683936332	0.011341412	1.532286559	0.058354101	300.1659828	0.853951005	0.688606187	0.0820347	21.78491357	0.119077637
	889464.7103	1354.5	432600	1251324.87	215.1720255	8.411999037	133.7105331	28.84353725	186.991003	8.361999037	130.7105331	28.63353725	6.601866663	0.010720832	0.934637616	0.060609719	255414.7822	812.9999997	409800	1231171.748	0.003183058	1.604449032	4.820283843	201.8797474	8.391999037	141.7105331	28.80353725	180.1503249	8.341999037	132.7105331	28.59353725	185.9954569	8.361096259	133.2938664	28.69909281	4.050510596	0.011276139	0.865015461	0.062643154	334.0770239	0.864957057	2.918618927	0.388492808	38.87985627	0.361557176
	828215.8192	2682	407550	1251177.922	211.8709028	8.407871869	136.692036	28.84574534	187.2348988	8.367871869	131.692036	28.60574534	6.516447222	0.009198386	0.71689247	0.064921594	389849.5853	2215.500001	459150	1231762.975	0.005682961	1.17776193	3.159585188	198.9090851	8.377871869	138.692036	28.80574534	179.4353488	8.337871869	133.692036	28.60574534	188.5791899	8.359538536	135.4003693	28.71282868	4.282788197	0.010104351	1.121156994	0.055253706	348.9428193	0.6777541	0.836129688	0.047910086	28.18520388	0.132224518
	1030344.393	2043	1420800	1251724.564	217.6758133	8.416900771	145.1047527	28.88231182	183.8205862	8.346900771	133.1047527	28.55231182	8.223910547	0.018122556	1.604154384	0.101360537	314465.3184	1719	1375500	1231249.677	0.005466422	4.374091258	3.915375099	197.8699464	8.396900771	145.1047527	28.82231182	179.2449124	8.336900771	138.1047527	28.61231182	186.6304652	8.367109104	142.1533638	28.70106182	4.263074191	0.014650652	1.951617085	0.065674286	251.6264596	0.747791882	-0.239804118	0.012051933	39.96640586	0.379083718
	1108491.562	2191.5	858450	1251804.922	221.8709049	8.413108863	140.7787412	28.85974534	182.925213	8.353108863	134.7787412	28.63974534	10.06880428	0.015152975	1.72228715	0.069312979	380917.0082	1441.5	495750.0014	1230799.075	0.003784289	1.301464599	3.231147596	200.0249385	8.413108863	137.7787412	28.81974534	175.9450205	8.343108864	134.7787412	28.55974534	182.201626	8.366893585	136.3273523	28.69050923	3.568195057	0.010826775	0.72738502	0.067700284	281.184416	0.72791987	-0.834047742	0.028907688	18.11635444	0.118147742
	803631.5557	2510.999999	498300	1251617.518	212.630627	8.424253372	139.4943481	28.84012685	186.9614828	8.364253372	130.4943481	28.63012685	5.720786454	0.011951721	1.702716715	0.058744541	339071.4344	1558.499999	472500	1230986.442	0.004596377	1.393511668	3.630463427	202.5689558	8.394253372	139.4943481	28.81012685	180.9538867	8.314253372	135.4943481	28.56012685	187.793071	8.350711705	136.508237	28.69484907	4.391847437	0.016869252	1.0708216	0.069291564	202.2072401	0.603240631	0.463529479	0.012773046	38.0763913	0.360892458
																																													
	intdayDOXY3	intdaypH3	intdayORP3	intdayTC3	maxdayDOXY3	maxdaypH3	maxdayORP3	maxdayTC3	mindayDOXY3	mindaypH3	mindayORP3	mindayTC3	meandayDOXY3	meandaypH3	meandayORP3	meandayTC3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_pH3	ratioDOXY_ORP3	ratioDOXY_TC3	DOXYmax3	pHmax3	ORPmax3	TCmax3	DOXYmin3	pHmin3	ORPmin3	TCmin3	DOXYmean3	pHmean3	ORPmean3	TCmean3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_pH3	rsqDOXY_pH3	slopesDOXY_ORP3	rsqDOXY_ORP3	slopesDOXY_TC3	rsqDOXY_TC3
