Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53262.2013403386	53258.1473163501	53263.6063036951	53263.6063036951	53311.6187954018	53274.9524349706
53283.8175479114	53280.1051111243	53283.6003336261	53283.6003336261	53330.8350042052	53307.2846812728
53245.5715033913	53272.0836864029	53278.9077588397	53278.9077588397	53330.2704130473	53303.1830602051
53215.1466508589	53227.5319322297	53220.9572987726	53220.9572987726	53276.4586076017	53263.810329935
53277.467055124	53263.914802678	53276.821825022	53276.821825022	53544.323996323	53318.4423815233
NaN	53292.1810701282	53289.9912116949	53289.9912116949	53566.7136928964	53319.8478837641
NaN	NaN	NaN	NaN	53397.5962841063	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.1215277779	39015.1284722222	39015.1111111111	39015.1111111111	39015.15625	39015.0659722222
39015.5069444445	39015.5173611111	39015.4861111111	39015.4861111111	39015.5277777779	39015.4479166667
39015.8472222222	39015.8333333334	39015.8263888889	39015.8263888889	39015.8298611111	39015.6840277779
39016.2916666667	39016.2847222222	39016.2777777779	39016.2777777779	39016.28125	39016.3125
39017.0729166667	39016.75	39016.9861111111	39016.9861111111	39016.7291666667	39016.8333333334
NaN	39017.1319444445	39017.2777777779	39017.2777777779	39017.1145833334	39017.4236111111
NaN	NaN	NaN	NaN	39017.4409722222	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
