Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
181.2124256	182.5881914	185.4030569	185.4030569	191.2560106	184.3480581
190.4458591	188.525372	188.5617925	188.5617925	181.6163958	188.0295786
183.6932222	183.3825187	187.9285717	187.9285717	190.1015371	188.3053596
198.8260273	195.282521	182.6777046	182.6777046	185.2972575	182.1554391
185.6167353	185.4383387	197.3105207	197.3105207	195.5822026	197.3439548
NaN	NaN	183.8518324	183.8518324	184.9610396	185.5566666
10/25/06 1:45	10/25/06 1:45	10/25/06 1:00	10/25/06 1:00	10/24/06 14:15	10/25/06 1:25
10/25/06 13:55	10/25/06 13:55	10/25/06 8:50	10/25/06 8:50	10/25/06 1:05	10/25/06 9:00
10/26/06 0:30	10/26/06 0:45	10/25/06 14:10	10/25/06 14:10	10/25/06 13:50	10/25/06 13:55
10/26/06 12:55	10/26/06 12:55	10/26/06 0:35	10/26/06 0:35	10/25/06 23:35	10/26/06 0:25
10/27/06 3:05	10/27/06 3:15	10/26/06 12:55	10/26/06 12:55	10/26/06 13:00	10/26/06 13:05
NaN	NaN	10/27/06 2:45	10/27/06 2:45	10/27/06 3:30	10/27/06 3:15
					
					
181.2124256	190.4458591	183.6932222	198.8260273	185.6167353	
182.5881914	188.525372	183.3825187	195.282521	185.4383387	
185.4030569	188.5617925	187.9285717	182.6777046	197.3105207	183.8518324
