Sensor1		Sensor2		Sensor3		Sensor4		Sensor5		Sensor6	
178.8592286	10/25/10 21:20	181.4431301	10/25/10 21:40	183.6036897	10/25/10 20:50	183.6036897	10/25/10 20:50	179.7049583	10/25/10 20:45	182.6643636	10/25/10 21:20
180.2933421	10/26/10 4:45	182.3475907	10/26/10 3:55	184.2096904	10/26/10 4:20	184.2096904	10/26/10 4:20	180.3399713	10/26/10 4:55	183.5961231	10/26/10 4:15
179.5339666	10/26/10 19:40	179.3955615	10/26/10 19:40	186.7920449	10/26/10 11:50	186.7920449	10/26/10 11:50	181.7770863	10/26/10 19:00	187.1944688	10/26/10 11:20
182.4276419	10/27/10 4:20	182.1506948	10/27/10 4:35	176.9417837	10/26/10 19:40	176.9417837	10/26/10 19:40	184.2836684	10/27/10 3:20	177.2558911	10/26/10 19:30
183.5355181	10/27/10 22:55	184.3872397	10/27/10 23:50	180.8487399	10/27/10 4:40	180.8487399	10/27/10 4:40	184.2233537	10/28/10 0:35	180.4464093	10/27/10 4:35
184.0732143	10/28/10 6:00	184.7544927	10/28/10 5:45	182.7337525	10/27/10 22:55	182.7337525	10/27/10 22:55	184.4236852	10/28/10 5:50	182.5903003	10/27/10 21:15
NaN	NaN	NaN	NaN	182.5784206	10/28/10 5:45	182.5784206	10/28/10 5:45	NaN	NaN	184.5708152	10/28/10 6:00
											
											
											
											
											
											
											
