Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
172.326599786016	168.74305032698	182.713195818672	182.713195818672	178.703418373197	185.143219752636
180.158374511427	183.490842591197	190.851978922856	190.851978922856	195.941092252409	198.378785129026
NaN	191.734785491991	199.064286772794	199.064286772794	206.9839252766	209.737842773586
NaN	197.565244323709	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.4270833334	39014.7638888889	39015.4340277779	39015.4340277779	39015.2083333334	39015.21875
39015.7708333334	39015.4236111111	39016.3472222222	39016.3472222222	39016.2083333334	39016.2430555556
NaN	39016.2916666667	39017.1736111111	39017.1736111111	39017.1458333334	39017.2013888889
NaN	39017.1909722222	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
