Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
145.299536928979	167.560674221998	157.116782605902	157.116782605902	139.401899101425	114.544699036786
172.230122792155	179.99977240529	181.226113048646	181.226113048646	167.233641811156	171.156144204762
180.067539781095	185.229120865928	189.377887951872	189.377887951872	178.703388900274	181.490980262499
NaN	NaN	NaN	NaN	198.880385115659	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39014.7465277779	39014.8368055556	39014.7986111111	39014.7986111111	39014.6875	39014.6423611111
39015.4756944445	39015.6111111111	39015.5590277779	39015.5590277779	39015.5104166667	39015.53125
39015.8229166667	39016.5486111111	39016.5138888889	39016.5138888889	39016.5763888889	39016.5798611111
NaN	NaN	NaN	NaN	39017.4375	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
