Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
32.8030074603867	32.8019235060522	32.8081816363575	32.8081816363575	32.8329921389015	32.8179821530223
32.7592358587841	32.7960472435453	32.7601774227995	32.7601774227995	32.7869415786891	32.7730857067332
32.783951502958	32.8656677786979	32.794785488195	32.794785488195	32.8348097501523	32.7552825442599
32.8572713230902	32.8867690984364	32.859108073602	32.859108073602	32.9005116113565	32.8895925354939
32.946137801356	32.9576610153642	32.9600791293324	32.9600791293324	33.0770060660602	32.9231307351924
NaN	NaN	NaN	NaN	33.1408424653314	32.9691951698604
NaN	NaN	NaN	NaN	33.0148926823776	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.0902777779	39015.0902777779	39015.0798611111	39015.0798611111	39015.1006944445	39015.0659722222
39015.4930555556	39015.8819444445	39015.4791666667	39015.4791666667	39015.4965277779	39015.4479166667
39015.8958333334	39016.2916666667	39015.8680555556	39015.8680555556	39015.8715277779	39015.75
39016.2951388889	39016.6944444445	39016.2881944445	39016.2881944445	39016.2916666667	39016.3055555556
39017.28125	39017.1666666667	39017.2604166667	39017.2604166667	39016.7256944445	39016.8715277779
NaN	NaN	NaN	NaN	39017.1145833334	39017.3298611111
NaN	NaN	NaN	NaN	39017.3993055556	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
