Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
32.7334215269555	32.3755122280347	32.3760526720857	32.3760526720857	32.776650882997	32.7408011068115
32.6993425325762	32.7133155301285	32.7440523110629	32.7440523110629	32.7411250574764	32.7376225931436
32.712510856176	32.7202958691891	32.6990909003871	32.6990909003871	32.7513030009802	32.660852919038
32.7808387393055	32.7752025240699	32.7134297706202	32.7134297706202	32.8207049301083	32.7921570550367
NaN	32.8750018262818	32.7638691171516	32.7638691171516	31.9897779369522	32.9111558422475
NaN	NaN	NaN	NaN	32.9643737284719	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.3298611111	39014.6354166667	39014.6284722222	39014.6284722222	39015.3645833334	39015.2673611111
39015.6840277779	39015.6701388889	39015.3368055556	39015.3368055556	39015.6701388889	39015.625
39016.0729166667	39016.0659722222	39015.6666666667	39015.6666666667	39016.0555555556	39016.0833333334
39016.4548611111	39016.46875	39016.0555555556	39016.0555555556	39016.5347222222	39016.4583333334
NaN	39016.8298611111	39016.4583333334	39016.4583333334	39016.9166666667	39017.0034722222
NaN	NaN	NaN	NaN	39017.2604166667	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
