Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
28.3121516354618	28.3102166566956	28.3140250284934	28.3140250284934	28.3133970257874	28.3152990483515
28.1252343332234	28.1239072520875	28.1269402058839	28.1269402058839	28.1202855461423	28.1380600795765
28.0786822340468	28.0775322615126	28.0776341882709	28.0776341882709	28.0780431023417	28.0774538711632
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.6527777779	39015.6493055556	39015.6527777779	39015.6527777779	39015.6493055556	39015.6458333334
39016.4652777779	39016.46875	39016.46875	39016.46875	39016.46875	39016.4722222222
39016.7916666667	39016.7881944445	39016.7881944445	39016.7881944445	39016.7847222222	39016.7881944445
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
