Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
28.1805017846887	28.1779505337078	28.1760618525912	28.1760618525912	28.1799673582404	28.1765596263144
28.0603958779608	28.0597941596231	28.0623163284201	28.0623163284201	28.0586173282592	28.0617307842702
28.0519438414007	28.0501837633616	28.0555408911383	28.0555408911383	28.0541101928311	28.0585707093849
27.9870661757775	27.9857405788426	27.9867795328707	27.9867795328707	27.9879590312697	27.9860144208273
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39015.0659722222	39015.0694444445	39015.0625	39015.0625	39015.0659722222	39015.0625
39016.2951388889	39016.3020833334	39016.2986111111	39016.2986111111	39016.3020833334	39016.2951388889
39016.6458333334	39016.6458333334	39016.6493055556	39016.6493055556	39016.6458333334	39016.65625
39017.2430555556	39017.2430555556	39017.2430555556	39017.2430555556	39017.2569444445	39017.2395833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
