Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.069371649391428	0.0368077169775347	0.0563061786120045	0.0563061786120045	0.0564586734001864	0.0531300893924538
0.134242922171239	0.107408398842324	0.131773131004849	0.131773131004849	0.143467846248967	0.128921061715175
0.112973329778953	0.0511081292059714	0.0610418350027828	0.0610418350027828	0.102133646671575	0.0568392258469714
0.286729544498201	0.10199044292645	0.153773678302144	0.153773678302144	0.190717003179316	0.132493886668726
0.0675442989108603	0.221332795429049	0.291320639954932	0.291320639954932	-0.0029931433350896	0.297201551973529
0.284158843389122	0.0402708842268851	0.0387896656607154	0.0387896656607154	0.0329587893330654	0.0662907260551719
NaN	0.217740953981121	0.279366318351947	0.279366318351947	0.198867467906126	0.236269018886588
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39014.96875	39014.9826388889	39014.9444444445	39014.9444444445	39014.9375	39014.9652777779
39015.3229166667	39015.2881944445	39015.28125	39015.28125	39015.3263888889	39015.2777777779
39015.9027777779	39015.5208333334	39015.5416666667	39015.5416666667	39015.8680555556	39015.53125
39016.4027777779	39015.90625	39015.9097222222	39015.9097222222	39016.4097222222	39015.8993055556
39017.0486111111	39016.3888888889	39016.4027777779	39016.4027777779	39016.8541666667	39016.40625
39017.3680555556	39017.0659722222	39017.0451388889	39017.0451388889	39017.0833333334	39017.0381944445
NaN	39017.3680555556	39017.3680555556	39017.3680555556	39017.3715277779	39017.375
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
