Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.244637486404997	2.28652835161805	0.16992465256493	0.16992465256493	0.79950648317481	1.01967822932136
0.178694817821565	0.200141982300948	0.200938381855764	0.200938381855764	0.173577047986186	0.283240783736971
0.167291134443502	0.0880677235319638	0.0697441530750211	0.0697441530750211	0.389034405979942	0.277400778917638
0.129338118821238	0.112976419763186	0.0945074817023226	0.0945074817023226	0.106677769701093	0.400213547952177
0.117569036736967	0.029209874545387	0.0373380166033996	0.0373380166033996	0.432793988859089	0.0845027167551393
0.117878629345114	0.152096253390482	0.101768062915966	0.101768062915966	0.0740301097651184	NaN
0.0764681340707227	0.0490309871551062	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39014.9375	39014.5902777779	39014.96875	39014.96875	39014.7673611111	39014.7604166667
39015.2881944445	39014.9305555556	39015.3090277779	39015.3090277779	39015.0763888889	39015.0763888889
39015.6145833334	39015.3194444445	39015.6423611111	39015.6423611111	39015.6840277779	39015.7048611111
39015.9722222222	39015.8854166667	39015.9097222222	39015.9097222222	39015.9895833334	39016.7083333334
39016.2951388889	39016.21875	39016.2534722222	39016.2534722222	39016.7013888889	39017.0729166667
39016.6180555556	39016.6944444445	39016.6388888889	39016.6388888889	39017.0208333334	NaN
39017.0798611111	39017.0868055556	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
