Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	2654373.555	112241.7712	459.0000001	16200.00043	376241.148	0.042285597	0.000172922	0.006103135	0.141743858	499.26	194.3702775	8.062004154	167.1557632	28.65550363	2.1253	179.2229801	8.022004154	147.1557632	28.24550363	202.2008267	187.1743246	8.04667082	148.6446521	28.50172586	149.0407504	4.044914724	0.00919486	3.307170042	0.089830368	0.024585111	0.820607864	5.19E-05	0.708339382	0.003016128	0.018475518	0.000425756	0.498982539
Sensor2	NaN	137278.5882	950.9999996	220500	376268.5125	0.051717886	0.000358277	0.083070448	0.141754167	NaN	194.045314	8.072705088	180.3637072	28.67109943	NaN	181.3019061	8.032705089	142.3637072	28.24109943	NaN	188.293984	8.064482866	159.1192627	28.5037661	NaN	3.006987323	0.008336363	7.000505033	0.0900101	0.017628745	0.763465913	3.95E-05	0.499501269	-0.035077927	0.557723778	0.00042109	0.486156959
Sensor3	NaN	175547.0595	948	47699.99999	376174.3349	0.066135024	0.000357146	0.017970342	0.141718687	NaN	196.1088482	8.088627985	175.2095016	28.6753284	NaN	183.8866128	8.038627985	156.2095016	28.2453284	NaN	190.2042981	8.070183541	160.0317238	28.49688396	NaN	3.598460538	0.009989894	3.277255563	0.092833075	0.021768129	0.812865616	5.37E-05	0.642356092	0.007934717	0.130212405	0.000451061	0.524415206
Sensor4	NaN	175547.0595	948	47699.99999	376174.3349	0.066135024	0.000357146	0.017970342	0.141718687	NaN	196.1088482	8.088627985	175.2095016	28.6753284	NaN	183.8866128	8.038627985	156.2095016	28.2453284	NaN	190.2042981	8.070183541	160.0317238	28.49688396	NaN	3.598460538	0.009989894	3.277255563	0.092833075	0.021768129	0.812865616	5.37E-05	0.642356092	0.007934717	0.130212405	0.000451061	0.524415206
Sensor5	NaN	115498.8531	3102	152850	376278.1994	0.04351266	0.001168637	0.057584208	0.141757817	NaN	193.0571221	8.135672378	179.6989875	28.68217419	NaN	179.8941458	8.075672378	132.6989875	28.2421742	NaN	186.8401231	8.120339045	144.543432	28.50461864	NaN	4.000439446	0.010995867	8.741113815	0.091704951	0.024349267	0.822936705	5.72E-05	0.601283434	-0.049086659	0.700492433	0.000439836	0.510982177
Sensor6	NaN	181929.7919	508.4999992	245700	376114.2227	0.068539634	0.000191571	0.092564213	0.14169604	NaN	196.4942162	8.072553219	186.7433801	28.66918354	NaN	184.8247595	8.032553219	104.7433801	28.23918354	NaN	190.5126102	8.050997663	123.8544912	28.49229465	NaN	3.331656178	0.008516176	14.48074305	0.092412667	0.020312801	0.825713361	2.83E-05	0.244856979	-0.077843562	0.641909442	0.000459391	0.548924469
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
Sensor1	8429187.3	327450.6763	844.5	1180350.001	1230155.408	0.038847242	0.000100188	0.140031294	0.145939978	589.46	193.0825861	8.042004154	190.1557632	28.33550363	1.249299973	178.6797441	8.012004154	166.1557632	28.06550363	192.4617192	186.1751193	8.031319222	174.3201468	28.27858583	134.4491772	3.964376368	0.006287101	3.972365573	0.034171274	0.024210709	0.674188807	2.84E-05	0.367969827	-0.008169396	0.076453567	7.58E-05	0.089029684
Sensor2	NaN	355949.4094	1941	1717950	1230136.325	0.0422282	0.000230271	0.203809684	0.145937714	NaN	191.0330858	8.042705088	191.3637072	28.34109943	NaN	177.9146783	8.012705088	178.3637072	28.07109943	NaN	186.0684852	8.037225636	181.8842551	28.27815422	NaN	3.083719478	0.007342103	1.842858266	0.033777524	0.016782232	0.535384736	2.04E-05	0.138902943	-0.004986333	0.132341196	8.79E-05	0.122411782
