Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	171330.7842	614.9999998	59549.99992	419918.9034	196.6007629	8.082004154	166.1557632	28.72550363	181.7659762	8.022004154	147.1557632	28.24550363	4.133970691	0.011192198	5.808544018	0.091946968	227325.9941	641.9999996	484050.0001	1211679.606	0.002824138	2.129320943	5.33014102	183.1663568	8.042004154	180.1557632	28.40550363	175.1452553	8.022004154	146.1557632	28.15550363	180.4501975	8.027004154	157.4821521	28.24480919	1.574628961	0.005154942	7.045139039	0.06437057	147.7218843	0.233873364	0.037037322	0.027460081	-4.836133923	0.039085429
Sensor2	176908.775	1143	687450.0002	419984.6616	197.8890748	8.092705088	180.3637072	28.74109943	181.2491032	8.042705088	103.3637072	28.25109943	3.405472024	0.009806287	16.81593024	0.095887051	398233.7347	1867.499999	439050.0001	1211795.165	0.004689457	1.102493239	3.042924443	186.6060348	8.062705088	182.3637072	28.41109943	177.7025959	8.022705088	163.3637072	28.15109943	182.4277884	8.04617731	173.5928738	28.24748832	1.690325874	0.006618415	4.700422164	0.067457431	97.54881338	0.145885157	0.008313459	0.000534437	2.138863376	0.007285927
Sensor3	226062.1456	1119	67199.99999	419893.8275	197.1280986	8.088627985	174.2095016	28.7253284	181.2010782	8.028627985	156.2095016	28.2453284	3.710918856	0.010319389	2.850277463	0.096906435	424071.479	2055	421050.0001	1211442.588	0.004845881	0.992875072	2.856694327	189.8886306	8.058627985	183.2095016	28.3953284	178.4956839	8.018627985	155.2095016	28.1353284	184.658037	8.046475208	165.0567238	28.23928673	1.883040575	0.008121731	6.269383306	0.064148198	91.10898408	0.154418817	0.010985787	0.001337804	-5.399667669	0.033836359
Sensor4	226062.1456	1119	67199.99999	419893.8275	197.1280986	8.088627985	174.2095016	28.7253284	181.2010782	8.028627985	156.2095016	28.2453284	3.710918856	0.010319389	2.850277463	0.096906435	424071.479	2055	421050.0001	1211442.588	0.004845881	0.992875072	2.856694327	189.8886306	8.058627985	183.2095016	28.3953284	178.4956839	8.018627985	155.2095016	28.1353284	184.658037	8.046475208	165.0567238	28.23928673	1.883040575	0.008121731	6.269383306	0.064148198	91.10898408	0.154418817	0.010985787	0.001337804	-5.399667669	0.033836359
Sensor5	200170.1991	3541.5	185250	419992.9607	195.5800292	8.145672378	178.6989875	28.73217419	175.6882947	8.065672378	130.6989875	28.2521742	4.095934116	0.011421426	9.703775818	0.096020618	265251.6437	7135.500015	777600.0001	1211737.773	0.02690087	2.931555821	4.568257357	185.2596442	8.105672378	184.6989875	28.4121742	175.6806384	8.065672378	152.6989875	28.1421742	180.8561187	8.0919571	170.8100987	28.24616725	1.866832475	0.009872377	6.58894084	0.066607555	42.50528295	0.050526424	0.045296773	0.025559658	-5.359294682	0.03656382
Sensor6	236562.1493	638.9999998	217649.9995	419831.9981	199.7306979	8.082553219	185.7433801	28.72918354	181.4277878	8.032553219	103.7433801	28.24918354	3.917723444	0.011536986	12.31599259	0.096644942	423844.7715	1704	1414200	1211402.474	0.00402034	3.336598904	2.858127681	188.2286445	8.062553219	185.7433801	28.38918354	178.5976008	8.012553219	136.7433801	28.14918354	183.822848	8.042205997	169.6392134	28.23835021	1.924728682	0.007701893	12.89425456	0.062785014	99.52635939	0.158610573	-0.016250418	0.01185175	-3.038646718	0.009825019
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	347132.7251	844.5	1151700	1230185.408	193.0825861	8.042004154	190.1557632	28.33550363	178.2063663	8.012004154	166.1557632	28.08550363	3.989412301	0.006287101	4.087401292	0.032552563	302145.4842	369.0000002	1632150	1207139.106	0.001221266	5.401867927	3.995224715	188.7382338	8.032004154	201.1557632	28.25550363	175.7783404	8.012004154	179.1557632	28.07550363	182.195252	8.020615265	184.246041	28.13855919	2.447449227	0.005369053	3.705813227	0.061918938	247.9014803	0.295750998	0.270518673	0.167777674	-23.60756778	0.356715608
	342817.7032	1978.5	3409950	1230163.325	191.0330858	8.042705088	191.3637072	28.34109943	178.3543493	8.012705088	178.3637072	28.08109943	2.842523286	0.006446246	1.863466732	0.032626846	374067.1761	685.4999995	1088550	1207134.665	0.001832559	2.91003881	3.227053167	187.146096	8.032705088	191.3637072	28.25109943	173.1508917	8.002705088	182.3637072	28.07109943	181.8724515	8.01867731	188.7248183	28.13846054	2.697793063	0.006618415	2.800127646	0.061938229	187.7831363	0.212228603	0.523002427	0.294676701	-25.02732505	0.330163582
	411557.1844	1638	1091700	1230171.785	192.469183	8.058627985	190.2095016	28.3453284	176.8957158	8.008627985	174.2095016	28.0853284	3.865862057	0.010541324	2.892867451	0.033280702	245424.6226	699.0000002	1388250	1207224.588	0.002848125	5.656522908	4.918922052	186.5855916	8.028627985	194.2095016	28.2553284	174.7870788	8.008627985	183.2095016	28.0753284	180.5176213	8.01494743	187.5775571	28.14053673	2.65069961	0.006229473	2.307623509	0.06146201	163.0627929	0.146855875	0.789853415	0.472826578	-30.98519703	0.51617981
	411557.1844	1638	1091700	1230171.785	192.469183	8.058627985	190.2095016	28.3453284	176.8957158	8.008627985	174.2095016	28.0853284	3.865862057	0.010541324	2.892867451	0.033280702	245424.6226	699.0000002	1388250	1207224.588	0.002848125	5.656522908	4.918922052	186.5855916	8.028627985	194.2095016	28.2553284	174.7870788	8.008627985	183.2095016	28.0753284	180.5176213	8.01494743	187.5775571	28.14053673	2.65069961	0.006229473	2.307623509	0.06146201	163.0627929	0.146855875	0.789853415	0.472826578	-30.98519703	0.51617981
	457516.9291	8551.5	1830300	1230258.077	192.3005428	8.095672378	196.6989875	28.3421742	175.6882947	8.055672378	163.6989875	28.0821742	3.893526362	0.007496181	5.787840918	0.033394409	410242.5629	5838.000014	1675350	1207066.773	0.014230605	4.083803466	2.942324571	190.1678496	8.075672378	197.6989875	28.2621742	174.6651403	7.945672378	184.6989875	28.0721742	184.2253588	8.061366822	191.7337098	28.13689642	2.638089491	0.01168663	3.438598663	0.061586762	55.69073511	0.06086469	0.288416629	0.1413268	-19.24691618	0.201891488
	418390.9316	633	3142649.999	1230234.484	191.8691492	8.042553219	198.7433801	28.34918354	176.7070232	8.012553219	169.7433801	28.08918354	3.768218634	0.007885578	5.263720626	0.034904079	273765.0421	537	2399850	1207179.974	0.001961536	8.766093662	4.409547562	185.9161717	8.032553219	198.7433801	28.24918354	173.9472463	8.002553219	182.7433801	28.06918354	180.337058	8.015053219	192.6600467	28.13953076	2.510639418	0.005732986	4.768046322	0.061750832	239.8823569	0.300047314	0.275141351	0.273038555	-25.51864854	0.393942002
																																													
