Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53891.4192076964	54067.7617973037	53867.0163008284	54113.5310586516	53925.1489168073	53882.5118470201
53925.1053750781	54153.8883417802	53885.1242075858	54035.1014879296	53881.3101514831	53874.6666153083
53892.910708111	54120.4610409284	53922.4852659734	54110.1795795606	53903.5757829183	53858.7186011361
53995.6699676199	54062.0644394253	53887.4407355517	54088.9560362944	53885.6420785798	53907.3714201744
53963.7157671848	54187.4406827786	53870.5130379051	54048.7716035434	53855.3959412251	53879.8770991672
53880.0736453513	54052.4762241015	53872.4940823416	54059.5698360017	53860.3481699099	53901.7526229728
53900.454646729	54015.7076443653	53889.4322492707	54079.6417978085	NaN	NaN
53904.0782999976	54030.5262652766	53841.5333366316	NaN	NaN	NaN
NaN	54008.1814537364	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.53125	40111.5069444445	40111.7152777778	40111.6041666666	40112.0555555555	40111.9131944445
40111.9375	40111.7847222222	40111.9826388889	40111.8923611111	40112.7083333334	40112.1736111111
40112.53125	40112.21875	40112.6666666666	40112.7048611111	40112.9236111111	40112.4270833334
40112.8055555555	40112.4930555555	40113.0451388889	40113.0902777778	40113.2986111111	40113.0069444445
40113.1909722222	40112.7534722222	40113.3090277778	40113.3611111111	40113.6979166666	40113.3715277778
40113.4201388889	40113.2083333334	40113.6458333334	40113.6527777778	40113.9166666666	40113.8506944445
40113.6770833334	40113.4027777778	40113.84375	40113.96875	NaN	NaN
40113.8993055555	40113.7638888889	40114.2291666666	NaN	NaN	NaN
NaN	40114.1597222222	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
