Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53885.3033038749	53991.8535422713	53849.8365329423	53986.8686240618	53855.9023343538	53811.4279873685
53870.5917605186	52772.0092106114	53864.8976930983	53715.4335380805	53859.362379212	53868.1863156068
53872.9046408007	53991.349209667	53846.2068324755	52083.670102855	53878.9573449225	53855.251197509
53439.4860855725	54001.7828768231	53865.9807254746	53663.6773087847	53758.7357191177	53836.4703271309
53872.7163043601	52692.3701054988	53867.0938127855	54021.0962703471	53808.3660404794	53843.1107530672
53870.0877123693	54006.7474811764	53845.4563976422	54019.4105475636	53852.7127762823	53859.8398450537
53888.9826685344	53984.2649055695	53871.1459931313	54012.1979506825	NaN	53862.6146603366
53772.4315966018	53971.8178547267	53827.994026016	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.6527777778	40111.6527777778	40111.5694444445	40111.4444444445	40111.5416666666	40111.6076388889
40112.3888888889	40111.9965277778	40111.7881944445	40111.7743055555	40112.5243055555	40112.0659722222
40112.6458333334	40112.3576388889	40112.2743055555	40112.0798611111	40112.78125	40112.34375
40112.9965277778	40112.6145833334	40112.8715277778	40112.8888888889	40113.1180555555	40112.5868055555
40113.3402777778	40112.96875	40113.2222222222	40113.2326388889	40113.4861111111	40113.21875
40113.5208333334	40113.3229166666	40113.4791666666	40113.5034722222	40113.78125	40113.5069444445
40113.7881944445	40113.5451388889	40113.7013888889	40113.7951388889	NaN	40114.0868055555
40114.1076388889	40113.9895833334	40114.0659722222	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
