Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
227.521805637016	229.207059135241	222.782819644697	224.832221317492	228.12727658634	227.086285281586
196.804645686458	193.450702927396	194.08108368908	198.799013063847	192.912288079994	193.708026487482
227.969451016381	231.969807821328	223.389926769388	225.937212167558	229.558946531844	229.251817450026
190.539459447868	188.264347374335	224.523563987555	191.83442181047	227.836774280558	227.631142062855
227.024547300983	224.839493922274	206.635283960669	225.159136345937	202.357728305794	202.151693538567
200.247823219149	201.221424960949	NaN	198.15071065339	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.5520833334	40111.5520833334	40111.5590277778	40111.5555555555	40111.5486111111	40111.5590277778
40112.0381944445	40112.0138888889	40112.0729166666	40112.0520833334	40112.0347222222	40111.9895833334
40112.53125	40112.5590277778	40112.5659722222	40112.5381944445	40112.5486111111	40112.5520833334
40112.9965277778	40112.9583333334	40113.6284722222	40112.9895833334	40113.6180555555	40113.6145833334
40113.6111111111	40113.6180555555	40114.1770833334	40113.6111111111	40113.9895833334	40113.9479166666
40113.9965277778	40113.9756944445	NaN	40114	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
