Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
194.492446626342	191.973511521633	191.647450714706	195.714612735195	191.848422363064	193.193925337242
188.439156250936	185.469976383711	191.191375968017	191.021869501654	186.699948939029	186.805462848822
187.902547658911	187.903725487937	185.574561323366	191.387499994297	180.388915855123	182.808350125076
185.02112090075	181.622743640887	202.035291967719	189.071696206012	200.547732057017	201.693133154572
198.225237002384	200.005757860258	206.539918452464	196.325997204303	201.310928209743	201.909962234137
199.88723729447	199.522626212304	NaN	198.13037028238	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.8923611111	40111.8923611111	40111.9340277778	40111.9027777778	40111.9236111111	40111.8993055555
40112.2152777778	40112.2013888889	40112.2048611111	40112.21875	40112.2013888889	40112.1979166666
40112.8784722222	40112.8993055555	40113.0069444445	40112.9097222222	40113.1423611111	40113.1493055555
40113.1736111111	40113.1493055555	40113.8611111111	40113.1666666666	40113.8680555555	40113.8680555555
40113.8680555555	40113.8715277778	40114.2847222222	40113.8645833334	40114.1145833334	40114.0138888889
40114.0763888889	40114.1180555555	NaN	40114.0277777778	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
