Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
126.770154433283	118.796073503065	121.389412590144	112.461746802244	89.6909279039169	119.32964391335
128.152448815296	130.4379871222	132.967861210543	131.372153430203	102.908154917804	130.641471782667
130.245539241083	131.979241037515	134.950124985823	139.776999358429	139.765468893899	136.813522743673
135.870514871993	133.578662567682	138.08737916375	141.166860056114	141.752432766689	NaN
138.381792494611	138.187500528839	139.674200955868	NaN	174.22257337194	NaN
NaN	138.635825587853	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.5868055555	40111.6006944445	40111.5659722222	40111.5902777778	40111.5729166666	40111.5833333334
40111.8576388889	40112.6006944445	40112.4930555555	40112.4722222222	40112.5416666666	40112.5138888889
40112.4965277778	40112.8298611111	40112.8090277778	40113.4131944445	40113.0659722222	40113.6180555555
40113.3784722222	40113.125	40113.4444444445	40113.7256944445	40113.3020833334	NaN
40113.8159722222	40113.8611111111	40113.7986111111	NaN	40113.78125	NaN
NaN	40114.1145833334	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
