Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.1915843494946	33.3454236132499	33.3032437209135	33.310881169298	33.3696128127556	33.1566898929938
33.3287388185706	33.507509999572	33.2290835713869	33.2488608793472	33.2333843343068	33.3008839319414
33.0829698010949	33.1901880402717	33.2454609597455	33.2833231273442	33.2189591500378	33.2222897146965
33.3047405316403	33.3794382256116	33.1581168498246	33.3600415971722	NaN	33.2596332271835
33.2682193919333	33.3528472915787	NaN	33.3698198745072	NaN	NaN
33.1673348380716	33.2478968774337	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.7743055555	40111.7847222222	40112.2673611111	40111.6076388889	40112.2291666666	40111.7916666666
40112.2222222222	40112.2222222222	40113.1597222222	40111.8888888889	40113.2430555555	40112.1944444445
40112.8263888889	40112.75	40113.4895833334	40112.4444444445	40113.4930555555	40113.1493055555
40113.1875	40113.1979166666	40113.8541666666	40113.125	NaN	40113.4861111111
40113.4826388889	40113.4791666666	NaN	40113.4791666666	NaN	NaN
40113.8854166666	40113.8368055555	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
