Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
28.3038892636311	28.3253181429409	28.3103545688041	28.3009413860337	28.3313421579616	28.3137024527776
28.3091612359347	28.3080883410965	28.3005779954381	28.3127483640369	28.3018642289964	28.315018612336
28.5389234647305	28.5490294746394	28.5478783714024	28.5335633343617	28.5449000860867	28.5323746539443
28.2265236218345	28.2260316103925	28.2163803029601	28.214421512437	28.2301650056929	28.2087607717721
28.3997519319549	28.3976126177903	28.3955817258892	28.3976797973489	28.4023221411764	28.3856472866124
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.5902777778	40111.6145833334	40111.625	40111.6006944445	40111.5972222222	40111.6006944445
40111.9027777778	40111.8819444445	40111.875	40111.9027777778	40111.8819444445	40111.9027777778
40112.7604166666	40112.7673611111	40112.7777777778	40112.7638888889	40112.7708333334	40112.7708333334
40113.3368055555	40113.34375	40113.3333333334	40113.3333333334	40113.3472222222	40113.3402777778
40113.6840277778	40113.6875	40113.6875	40113.6840277778	40113.6875	40113.6909722222
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
