Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
28.2586683907095	28.291592749263	28.2836018508809	28.2600048881949	28.2847158563029	28.2694132758713
28.0639532094544	28.0290843627803	28.0493665438145	28.080493641644	28.0226920108369	28.0795802500057
28.1617346624979	28.1371928247856	28.1784742029522	28.1705281991231	28.1291341487336	28.1681137234409
28.125474201756	28.1267923316975	28.1308508363299	28.1269236166066	28.1318181066356	28.1253894650674
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.75	40111.7777777778	40111.7673611111	40111.75	40111.7777777778	40111.7604166666
40112.2465277778	40112.2291666666	40112.2708333334	40112.2395833334	40112.2326388889	40112.2083333334
40113.1805555555	40113.1701388889	40113.1840277778	40113.1944444445	40113.1701388889	40113.1979166666
40113.4861111111	40113.4930555555	40113.4895833334	40113.4861111111	40113.4930555555	40113.4895833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
