Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-71.9976082596018	-71.8521212162722	-73.7253767737879	-71.9672632727174	-71.5655718897535	-72.8610244399741
-71.3459052261865	-71.1078485985899	-70.0883672874925	-72.2658942113565	-71.2526457428015	-70.7608242024986
-72.5208567193518	-72.9446993204825	-71.2136662314494	-73.2735106234933	-74.2178206927646	-71.94669261091
NaN	NaN	-70.8636161306994	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40112.2256944445	40112.2083333334	40112.2673611111	40112.2152777778	40112.2013888889	40112.2083333334
40113.1180555555	40113.1145833334	40113.0520833334	40113.0972222222	40113.1111111111	40113.1215277778
40114.0729166666	40114.1180555555	40113.3819444445	40114.0277777778	40114.1354166666	40114.03125
NaN	NaN	40113.8645833334	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
