Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-76.7454719960526	-75.8047561921077	-75.1690167885054	-74.3322325335397	-73.1613881186328	-78.6891087139664
-75.7150832070466	-75.491115915473	-71.5167671088609	-75.6520735076193	-75.7727176795675	-75.7269527092324
-75.5731794574671	NaN	-73.993203604112	-76.0534051932236	-76.3659106139531	-74.1035517491594
NaN	NaN	-70.9802076136189	NaN	NaN	-72.5344044599872
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.4930555555	40112.5416666666	40112.5069444445	40111.5416666666	40111.625	40111.5451388889
40112.5381944445	40113.6076388889	40113.2708333334	40112.5451388889	40112.5625	40112.5451388889
40113.6041666666	NaN	40113.6041666666	40113.6006944445	40113.6145833334	40113.6145833334
NaN	NaN	40113.9722222222	NaN	NaN	40114.2326388889
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
