Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.776189259740931	6.6629110682843	0.65903043349681	4.34304187454109	1.53837669057248	1.28720509209961
0.845491790045344	35.6303460242925	0.612103575993387	15.1101117076396	0.442168227382354	0.320702355988033
4.37976259492279	2.75394311083801	0.694359639652248	46.3265929286499	-0.208902778264019	0.214040786355326
15.6435780989123	7.4792233932385	1.10713294638117	5.13449538232089	0.650178254967614	1.31260227941675
0.490883717975521	34.8847816933703	0.66191766247357	4.17620095393795	0.988526561210165	0.674470093210402
1.09599994107703	0.589931948590674	0.208093871719029	12.313426805682	3.93848047064239	1.31765030253882
0.726870620492264	1.26958905556239	0.926859051418433	1.16564019492216	1.2738007650114	0.805757719521353
2.9869310430513	1.19123015970399	0.73141807934735	1.47451870481746	0.308364602169604	0.47771112643386
NaN	NaN	0.457745212319423	2.16550682747038	NaN	0.381447060215578
NaN	NaN	NaN	-0.0608975730428938	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.7986111111	40111.7326388889	40111.6284722222	40111.5381944445	40111.6111111111	40111.7256944445
40112.4652777778	40112.0868055555	40111.8784722222	40111.8402777778	40111.8506944445	40112.1180555555
40112.7395833334	40112.4201388889	40112.3645833334	40112.1597222222	40112.2430555555	40112.3854166666
40113.0763888889	40112.6979166666	40112.5763888889	40112.4166666666	40112.6076388889	40112.6736111111
40113.375	40113.0555555555	40112.9479166666	40112.6423611111	40112.8680555555	40112.9305555555
40113.5972222222	40113.3576388889	40113.2673611111	40112.9722222222	40113.1979166666	40113.2916666666
40113.8472222222	40113.625	40113.5520833334	40113.2881944445	40113.5729166666	40113.5798611111
40114.1875	40114.0625	40113.78125	40113.5798611111	40113.8472222222	40113.78125
NaN	NaN	40114.1319444445	40113.875	NaN	40114.1770833334
NaN	NaN	NaN	40114.1840277778	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
