Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.267261125351069	-2.87443222272123	-0.152765415215981	-13.2165015338833	0.0913593828809098	-1.42369590198359
-0.801333446957869	-37.9417741783691	-0.80745598730573	-58.7704668069564	-0.308532970797387	-0.512299528658332
-0.970344811401446	-5.23515885285451	0.538376804761356	1.6073938076006	-1.1439760064095	-0.648293782716792
-16.3755012825932	-2.68670344263228	-1.58832730798167	0.227254163568432	-0.169816645116953	-0.794438763929065
-3.50585918690194	-40.0805909349147	-0.636734378007532	-13.5433175386788	-4.2619546874048	0.0929108808850287
-0.536684544968011	-2.26200678494934	-0.838330389990006	-2.65360952686751	-2.267210030157	-1.70020554767689
-0.563899402113748	-1.2050824875696	-0.126886195648694	-1.11363085479388	-0.170638668489119	-0.818674118032504
-3.64027631885256	-1.54242944469297	-1.60406762814091	-1.79064665725309	-0.493467251333641	0.192274857341545
NaN	-0.499061861475639	-0.109148870185891	-1.02641887871869	NaN	-0.952409558427462
NaN	NaN	NaN	-0.151725583855296	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.5902777778	40111.5868055555	40111.75	40111.7048611111	40111.75	40111.4548611111
40112.2951388889	40111.90625	40112.1770833334	40111.9930555555	40112.1666666666	40111.9861111111
40112.59375	40112.2708333334	40112.4444444445	40112.3263888889	40112.4027777778	40112.2534722222
40112.9131944445	40112.5590277778	40112.7604166666	40112.5381944445	40112.7465277778	40112.5173611111
40113.2430555555	40112.875	40113.1284722222	40112.8055555555	40113.03125	40112.8125
40113.4722222222	40113.2465277778	40113.4027777778	40113.1458333334	40113.375	40113.125
40113.7291666666	40113.4722222222	40113.6736111111	40113.4305555555	40113.7326388889	40113.4340277778
40114.0138888889	40113.8993055555	40113.9409722222	40113.7256944445	40114.0243055555	40113.6944444445
NaN	40114.2256944445	40114.2777777778	40114.0381944445	NaN	40113.9479166666
NaN	NaN	NaN	40114.2604166666	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
