Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.125598483520179	0.179411316478067	0.120390857281777	0.205943076066831	0.109894502971557	0.111873784074021
0.0509404941002742	0.0819854110518321	0.084554855996231	0.135330454556708	0.112082514161116	0.0757787996989805
0.0429116294158689	0.187024609991568	0.04755209954169	0.0670267591821414	-0.00186292379468966	0.0944961588450894
0.0583581588853974	0.0541031735668298	0.0419634969459537	0.0675732012816468	0.712003325955763	0.120191829114589
0.043558142653211	0.0377628449986958	0.0564449116494359	0.0580187648183994	0.0661268306883187	0.0772820736362689
0.0406001132267875	0.43331500335799	0.0680367759916862	0.0556653913026821	0.844353613549288	NaN
0.201100951333871	0.0437613948516002	NaN	NaN	0.193679283230779	NaN
0.0643881143078602	0.149233861740015	NaN	NaN	0.0987585600197178	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.6354166666	40111.6597222222	40111.6388888889	40111.6701388889	40111.6354166666	40111.6631944445
40111.9513888889	40111.9618055555	40112.0763888889	40111.9791666666	40111.8923611111	40111.9722222222
40112.2361111111	40112.3055555555	40112.6006944445	40112.71875	40112.4409722222	40112.6597222222
40112.5868055555	40112.6631944445	40112.9722222222	40113.4965277778	40112.7326388889	40113.7256944445
40112.8611111111	40112.9479166666	40113.5590277778	40113.8402777778	40113.15625	40114.0659722222
40113.1631944445	40113.5	40113.9375	40114.0902777778	40113.4861111111	NaN
40113.5104166666	40113.9166666666	NaN	NaN	40113.8645833334	NaN
40113.8923611111	40114.2395833334	NaN	NaN	40114.1701388889	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
