Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.0591704255527361	-1.25554278300743	0.0339962085786851	0.0798872934463901	0.048237102386409	0.040871972681316
0.0106090471720393	0.00647810485403966	-0.0329850221945946	-0.0417639989898078	-0.0494504604659767	-0.0366947630486436
-0.0573662885565227	0.0058693635641589	-0.00412083594366663	-0.0599897828432177	-0.0143800089860378	-0.116095163522999
0.0119083338595658	-0.170908769260535	-0.0183005752279826	-0.0330781684761234	-0.0646598106724809	0.025630734317474
0.00955976330473618	-0.00415513386727184	-0.0246938184802161	0.0385689850875508	-0.0151204510962657	-0.0225767322634169
-0.0346170357217943	-0.00200575779953738	NaN	NaN	-0.303334079482596	NaN
-0.15728398302079	-0.384719727472572	NaN	NaN	0.0491001175574866	NaN
NaN	-0.0287185502807858	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40111.7743055555	40111.4479166666	40111.7951388889	40111.8263888889	40111.7430555555	40111.8159722222
40112.1076388889	40111.8020833334	40112.3993055555	40112.375	40112.3125	40112.4305555555
40112.40625	40112.1388888889	40112.7743055555	40113.3263888889	40112.5104166666	40113.5138888889
40112.7222222222	40112.4895833334	40113.3784722222	40113.6527777778	40112.9652777778	40113.9131944445
40113.0138888889	40112.7986111111	40113.7291666666	40113.96875	40113.2743055555	40114.2569444445
40113.3263888889	40113.1041666666	NaN	NaN	40113.6840277778	NaN
40113.7013888889	40113.7048611111	NaN	NaN	40114.0243055555	NaN
NaN	40114.0590277778	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
