Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	18318216.31	1024875.957	2307	82350	805976.1434	0.055948458	0.00012594	0.004495525	0.043998615	1102.676401	227.7545415	8.376766315	151.7373323	28.32770679	1.928805571	184.4880744	8.276766315	127.7373323	28.05770679	640.7886692	220.1869664	8.357391315	130.7373323	28.27833179	348.9106268	8.910511618	0.017699985	4.252553413	0.034817192	0.022701482	0.79019	4.55E-05	0.804819138	0.004562605	0.140137569	5.06E-07	2.57E-05
Sensor2	NaN	1114716.96	1728	137550	806836.9764	0.06085292	9.43E-05	0.007508919	0.044045608	NaN	229.8752842	8.361760453	154.7807086	28.38270092	NaN	182.9842362	8.281760453	120.7807086	28.04270092	NaN	221.7056032	8.34217712	125.7807086	28.30843009	NaN	9.48775096	0.01548627	7.755473449	0.038216689	0.024246395	0.795053173	4.02E-05	0.821213565	0.008703393	0.153316536	-1.22E-05	0.012314575
Sensor3	NaN	883510.4124	5445	50250	806231.3949	0.048231247	0.000297245	0.002743171	0.044012549	NaN	224.0365535	8.485453302	133.9378012	28.37397877	NaN	190.4667283	8.305453302	121.9378012	28.02397877	NaN	218.0211075	8.436078302	123.7919679	28.28710377	NaN	6.08308814	0.033554747	1.852333758	0.043463536	0.015140846	0.754189466	9.03E-05	0.881969327	-0.002756303	0.269552692	-2.72E-05	0.047586276
Sensor4	NaN	956536.9973	1239	120750	805894.6352	0.052217802	6.76E-05	0.006591799	0.043994165	NaN	225.3190689	8.330740524	132.9178716	28.34258369	NaN	184.9034934	8.270740524	112.9178716	28.07258369	NaN	218.2849628	8.31396969	117.3137049	28.27560452	NaN	7.364916608	0.009458473	4.071671496	0.035366347	0.018584088	0.77513123	2.25E-05	0.687025655	-0.000958555	0.006747094	-7.69E-06	0.005760554
Sensor5	NaN	1056140.55	640.5	68550	806918.0907	0.057655207	3.50E-05	0.003742177	0.044050036	NaN	229.397868	8.303143806	104.7818809	28.37191546	NaN	183.8329867	8.273143806	89.78188094	28.02191546	NaN	220.7088113	8.295435473	92.30271428	28.3111863	NaN	8.834319634	0.008519843	2.470794318	0.039128528	0.02302924	0.827258778	-5.47E-06	0.050157842	-0.001084759	0.023465064	9.00E-06	0.006446999
Sensor6	NaN	1050415.273	3712.5	55800	806237.0731	0.057342661	0.000202667	0.003046148	0.044012859	NaN	227.8250866	8.411268073	130.7924319	28.33665169	NaN	183.2729175	8.291268073	119.7924319	28.08665169	NaN	219.9415381	8.39105974	121.8340986	28.28758919	NaN	8.341179273	0.021323531	2.097199469	0.034915782	0.020636504	0.745153458	5.40E-05	0.78213288	-0.001338483	0.049587748	-3.70E-06	0.00136605
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	26263550.93	1381810.629	2292	174000	1281269.617	0.052613245	8.73E-05	0.006625151	0.048785087	1123.134801	228.3343632	8.356766315	136.7373323	28.59770679	1.928805571	184.4880744	8.276766315	129.7373323	28.05770679	575.9690876	214.7117239	8.327029473	131.5925954	28.28303573	347.7594647	13.08768127	0.022045929	1.057348268	0.176064098	0.033158751	0.776298625	5.39E-05	0.724237362	-0.001973543	0.421323008	-2.40E-05	0.002249636
	NaN	1583265.515	2139	543300	1281728.352	0.060283757	8.14E-05	0.020686464	0.048802554	NaN	232.8654947	8.351760453	138.7807086	28.61270092	NaN	182.7755816	8.281760453	129.7807086	28.03270092	NaN	217.507279	8.328668348	132.7675507	28.29296408	NaN	14.62307068	0.023732325	2.470988868	0.185293565	0.035467674	0.711452921	5.56E-05	0.664324662	0.001568372	0.048720781	1.96E-05	0.0013469
