Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	1006402.403	2254.5	54900	772057.8953	227.7545415	8.376766315	151.7373323	28.32770679	184.7530129	8.286766315	128.7373323	28.07770679	7.970227993	0.015835921	4.304910029	0.033748175	541598.8041	2421	80700	1209965.121	0.004470098	0.149003283	2.234061656	202.295098	8.326766315	132.7373323	28.53770679	184.4880744	8.266766315	127.7373323	28.02770679	194.878171	8.303294093	129.6262212	28.20583179	3.524618312	0.015792334	1.051878846	0.1025	184.8847222	0.686231302	-1.513141369	0.203923025	20.74163012	0.363839055
Sensor2	1095377.399	1692	135150	772906.7352	229.8752842	8.361760453	154.7807086	28.38270092	184.0142907	8.281760453	120.7807086	28.06270092	8.327595985	0.01441982	7.898000013	0.036558045	533482.7196	2322	182550	1209385.87	0.004352531	0.342185404	2.266963531	201.6303511	8.321760453	131.7807086	28.57270092	182.9842362	8.271760453	122.7807086	27.98270092	191.9335746	8.295996564	127.0376531	28.19256204	3.757544584	0.015936055	2.208522994	0.118699162	199.5146903	0.715983658	-1.166157164	0.469796455	24.00011213	0.574795769
Sensor3	863280.4591	5281.5	46350	772293.6204	224.0365535	8.485453302	133.9378012	28.37397877	191.3458257	8.315453302	121.9378012	28.06397877	5.405977457	0.03189058	1.866642066	0.041472393	522365.6627	4899	200100	1209649.189	0.009378488	0.383064995	2.315713446	204.4725891	8.385453302	134.9378012	28.54397877	187.2880288	8.295453302	124.9378012	28.01397877	193.957624	8.339654691	129.6079401	28.1985621	3.503527562	0.023870742	2.716926479	0.103639201	104.0529409	0.50260808	-0.563033849	0.190639858	14.9549331	0.19570683
Sensor4	842644.7872	940.5	112650	771967.5348	225.3190689	8.330740524	132.9178716	28.34258369	189.2434494	8.280740524	112.9178716	28.09258369	6.353438411	0.008015602	4.1285339	0.034517353	500954.8806	817.5	352650	1210186.34	0.001631883	0.703955613	2.415759158	212.1619938	8.310740524	135.9178716	28.54258369	184.9034934	8.270740524	118.9178716	28.03258369	196.6210956	8.28990719	127.1400938	28.21098647	4.140188249	0.008889375	4.246667874	0.098461332	307.0429775	0.434610853	-0.394596539	0.163818506	17.25337817	0.168360233
Sensor5	1006966.011	622.5	64950	772988.7921	229.397868	8.303143806	104.7818809	28.37191546	185.090684	8.273143806	89.78188094	28.04191546	7.881208898	0.008499459	2.52242688	0.037182643	607540.2126	1693.5	309150	1209238.173	0.00278747	0.508855206	1.990383761	202.2848411	8.323143806	127.7818809	28.56191546	183.5106965	8.263143806	92.78188094	27.97191546	192.3083995	8.282796584	100.0596587	28.18913768	3.773323685	0.011850655	4.397145362	0.117600987	258.6871543	0.660064453	-0.450503727	0.275607035	23.07046292	0.516995104
Sensor6	990486.5508	3606	51000	772315.5911	227.8250866	8.411268073	130.7924319	28.33665169	186.1543512	8.301268073	119.7924319	28.09665169	7.25814465	0.019514839	2.101349872	0.034415986	479146.3562	2875.5	159300	1210128.357	0.006001298	0.332466266	2.52559232	200.9447866	8.351268073	135.7924319	28.54665169	183.2729175	8.281268073	123.7924319	28.04665169	192.6076679	8.318351407	127.5215986	28.2096378	3.72643583	0.02027348	2.537050625	0.10118238	159.7869229	0.755704091	-1.077982691	0.538634972	27.01250245	0.537962647
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	1366258.094	2254.5	122550	1230180.745	228.3343632	8.356766315	136.7373323	28.59770679	184.3996536	8.276766315	129.7373323	28.05770679	12.54480595	0.021410357	1.057175138	0.172539905	290570.7611	1531.5	300300	1214861.121	0.005270661	1.0334832	4.180947582	208.0075703	8.316766315	138.7373323	28.56770679	182.2185449	8.246766315	132.7373323	28.15770679	189.0871717	8.282669093	134.7442767	28.31916512	3.401545144	0.013608574	1.161723628	0.13387171	195.5993086	0.612360789	-1.130390482	0.149042508	16.06807097	0.399901122
	1561325.017	2104.5	524700	1230622.99	232.8654947	8.351760453	138.7807086	28.61270092	182.7755816	8.281760453	129.7807086	28.03270092	14.07306346	0.023262077	2.490757597	0.181142024	349322.3236	1753.5	439050	1214737.87	0.005019719	1.256862131	3.477412658	211.3025791	8.321760453	142.7807086	28.57270092	179.4322711	8.241760453	131.7807086	28.13270092	187.7041866	8.282871564	133.0445975	28.31638148	4.816517054	0.016937198	1.158647096	0.150596699	253.7832367	0.796421187	-0.988103694	0.056499057	25.84358174	0.652935239
