Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
8.28052587428791	8.27584158690252	8.3126573660473	8.27924377640816	8.27163202266648	8.29320466672162
8.26704299034812	8.2613655079034	8.24711065591056	8.28397955629056	8.2651270132185	8.2560202169738
NaN	NaN	NaN	8.30473780817777	NaN	8.28020845126824
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40112.2222222222	40112.2118055555	40112.2638888889	40112.21875	40112.1979166666	40112.1979166666
40113.1215277778	40113.1111111111	40113.0520833334	40113.0902777778	40113.1111111111	40113.1145833334
NaN	NaN	NaN	40114.0277777778	NaN	40114.0277777778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
